sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_characteristics_ch1,sample_treatment_protocol_ch1,sample_growth_protocol_ch1,sample_molecule_ch1,sample_label_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key
reanalysis_pca_a2,,,,,,,Reanalysis PCa_A2,GSM4224448,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224448/suppl/GSM4224448_GSM1465213_Bergamaschi_252182711579_S01_miRNA-v1_95_May07_1_3.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224448
reanalysis_pca_a3,,,,,,,Reanalysis PCa_A3,GSM4224449,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224449/suppl/GSM4224449_GSM1465214_Bergamaschi_252182711579_S01_miRNA-v1_95_May07_1_4.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224449
reanalysis_pca_a5,,,,,,,Reanalysis PCa_A5,GSM4224450,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224450/suppl/GSM4224450_GSM1465215_Bergamaschi_252182711579_S01_miRNA_v1_95_May07_2_1.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224450
reanalysis_pca_a9,,,,,,,Reanalysis PCa_A9,GSM4224451,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224451/suppl/GSM4224451_GSM1465216_Bergamaschi_252182711579_S01_miRNA-v1_95_May07_2_2.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224451
reanalysis_pca_aa65,,,,,,,Reanalysis PCa_AA65,GSM4224452,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224452/suppl/GSM4224452_GSM1465218_Bergamaschi_252182711579_S01_miRNA-v1_95_May07_2_4.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224452
reanalysis_pca_cc83,,,,,,,Reanalysis PCa_CC83,GSM4224453,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224453/suppl/GSM4224453_GSM1465219_miR_Bergamaschi-PCa_252182711938_S01_miRNA-v1_95_May07_1_1.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224453
reanalysis_pca_d37,,,,,,,Reanalysis PCa_D37,GSM4224454,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224454/suppl/GSM4224454_GSM1465220_miR_Bergamaschi-PCa_252182711938_S01_miRNA-v1_95_May07_1_4.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224454
reanalysis_pca_d40,,,,,,,Reanalysis PCa_D40,GSM4224455,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224455/suppl/GSM4224455_GSM1465221_miR_Bergamaschi-PCa_252182711938_S01_miRNA-v1_95_May07_2_1.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224455
reanalysis_pca_cc87,,,,,,,Reanalysis PCa_CC87,GSM4224456,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224456/suppl/GSM4224456_GSM1465223_miR_Bergamaschi-PCa_252182711938_S01_miRNA-v1_95_May07_2_3.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224456
reanalysis_pca_cc91,,,,,,,Reanalysis PCa_CC91,GSM4224457,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224457/suppl/GSM4224457_GSM1465224_miR_Bergamaschi-PCa_252182711938_S01_miRNA-v1_95_May07_2_4.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224457
