sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_label_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key,treatment,concentration
pf179tcaf-shgr-1_dmso_rep1,,,,,,,PF179TCAF-shGR-1_DMSO_rep1,GSM4550540,Public on Jun 01 2021,May 12 2020,Jun 01 2021,RNA,1,Immortalized primary human prostate cancer associated fibroblasts (PF179TCAF) w/ shGR treated with DMSO,Homo sapiens,9606,total RNA,biotin,gene expression profiling of treated CAFs,GPL23126,"Martin,,Puhr",martin.puhr@i-med.ac.at,Division of Experimental Urology,Department of Urology,Medical University of Innsbruck,Anichstrasse 35,Innsbruck,6020,Austria,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4550nnn/GSM4550540/suppl/GSM4550540_A3641_01.CEL.gz,GSE150432,138745,,Log2 RMA signal,GSM4550540,DMSO,Control
pf179tcaf-shgr-1_dmso_rep2,,,,,,,PF179TCAF-shGR-1_DMSO_rep2,GSM4550541,Public on Jun 01 2021,May 12 2020,Jun 01 2021,RNA,1,Immortalized primary human prostate cancer associated fibroblasts (PF179TCAF) w/ shGR treated with DMSO,Homo sapiens,9606,total RNA,biotin,gene expression profiling of treated CAFs,GPL23126,"Martin,,Puhr",martin.puhr@i-med.ac.at,Division of Experimental Urology,Department of Urology,Medical University of Innsbruck,Anichstrasse 35,Innsbruck,6020,Austria,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4550nnn/GSM4550541/suppl/GSM4550541_A3641_02.CEL.gz,GSE150432,138745,,Log2 RMA signal,GSM4550541,DMSO,Control
pf179tcaf-shgr-1_dmso_rep3,,,,,,,PF179TCAF-shGR-1_DMSO_rep3,GSM4550542,Public on Jun 01 2021,May 12 2020,Jun 01 2021,RNA,1,Immortalized primary human prostate cancer associated fibroblasts (PF179TCAF) w/ shGR treated with DMSO,Homo sapiens,9606,total RNA,biotin,gene expression profiling of treated CAFs,GPL23126,"Martin,,Puhr",martin.puhr@i-med.ac.at,Division of Experimental Urology,Department of Urology,Medical University of Innsbruck,Anichstrasse 35,Innsbruck,6020,Austria,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4550nnn/GSM4550542/suppl/GSM4550542_A3641_03.CEL.gz,GSE150432,138745,,Log2 RMA signal,GSM4550542,DMSO,Control
pf179tcaf-shgr-1_dex_rep1,,,,,,,PF179TCAF-shGR-1_Dex_rep1,GSM4550543,Public on Jun 01 2021,May 12 2020,Jun 01 2021,RNA,1,Immortalized primary human prostate cancer associated fibroblasts (PF179TCAF) w/ shGR treated with Dex,Homo sapiens,9606,total RNA,biotin,gene expression profiling of treated CAFs,GPL23126,"Martin,,Puhr",martin.puhr@i-med.ac.at,Division of Experimental Urology,Department of Urology,Medical University of Innsbruck,Anichstrasse 35,Innsbruck,6020,Austria,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4550nnn/GSM4550543/suppl/GSM4550543_A3641_04.CEL.gz,GSE150432,138745,,Log2 RMA signal,GSM4550543,Dexamethasone,100nM (Dex)
pf179tcaf-shgr-1_dex_rep2,,,,,,,PF179TCAF-shGR-1_Dex_rep2,GSM4550544,Public on Jun 01 2021,May 12 2020,Jun 01 2021,RNA,1,Immortalized primary human prostate cancer associated fibroblasts (PF179TCAF) w/ shGR treated with Dex,Homo sapiens,9606,total RNA,biotin,gene expression profiling of treated CAFs,GPL23126,"Martin,,Puhr",martin.puhr@i-med.ac.at,Division of Experimental Urology,Department of Urology,Medical University of Innsbruck,Anichstrasse 35,Innsbruck,6020,Austria,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4550nnn/GSM4550544/suppl/GSM4550544_A3641_05.CEL.gz,GSE150432,138745,,Log2 RMA signal,GSM4550544,Dexamethasone,100nM (Dex)
pf179tcaf-shgr-1_dex_rep3,,,,,,,PF179TCAF-shGR-1_Dex_rep3,GSM4550545,Public on Jun 01 2021,May 12 2020,Jun 01 2021,RNA,1,Immortalized primary human prostate cancer associated fibroblasts (PF179TCAF) w/ shGR treated with Dex,Homo sapiens,9606,total RNA,biotin,gene expression profiling of treated CAFs,GPL23126,"Martin,,Puhr",martin.puhr@i-med.ac.at,Division of Experimental Urology,Department of Urology,Medical University of Innsbruck,Anichstrasse 35,Innsbruck,6020,Austria,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4550nnn/GSM4550545/suppl/GSM4550545_A3641_06.CEL.gz,GSE150432,138745,,Log2 RMA signal,GSM4550545,Dexamethasone,100nM (Dex)
pf179tcaf-shgr-1_dox+dex_rep1,,,,,,,PF179TCAF-shGR-1_Dox+Dex_rep1,GSM4550546,Public on Jun 01 2021,May 12 2020,Jun 01 2021,RNA,1,Immortalized primary human prostate cancer associated fibroblasts (PF179TCAF) w/ shGR treated with Dox+Dex,Homo sapiens,9606,total RNA,biotin,gene expression profiling of treated CAFs,GPL23126,"Martin,,Puhr",martin.puhr@i-med.ac.at,Division of Experimental Urology,Department of Urology,Medical University of Innsbruck,Anichstrasse 35,Innsbruck,6020,Austria,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4550nnn/GSM4550546/suppl/GSM4550546_A3641_07.CEL.gz,GSE150432,138745,,Log2 RMA signal,GSM4550546,Doxycycline+Dexamethasone,1ug/ml (Dox)+100nM(Dex)
pf179tcaf-shgr-1_dox+dex_rep2,,,,,,,PF179TCAF-shGR-1_Dox+Dex_rep2,GSM4550547,Public on Jun 01 2021,May 12 2020,Jun 01 2021,RNA,1,Immortalized primary human prostate cancer associated fibroblasts (PF179TCAF) w/ shGR treated with Dox+Dex,Homo sapiens,9606,total RNA,biotin,gene expression profiling of treated CAFs,GPL23126,"Martin,,Puhr",martin.puhr@i-med.ac.at,Division of Experimental Urology,Department of Urology,Medical University of Innsbruck,Anichstrasse 35,Innsbruck,6020,Austria,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4550nnn/GSM4550547/suppl/GSM4550547_A3641_08.CEL.gz,GSE150432,138745,,Log2 RMA signal,GSM4550547,Doxycycline+Dexamethasone,1ug/ml (Dox)+100nM(Dex)
pf179tcaf-shgr-1_dox+dex_rep3,,,,,,,PF179TCAF-shGR-1_Dox+Dex_rep3,GSM4550548,Public on Jun 01 2021,May 12 2020,Jun 01 2021,RNA,1,Immortalized primary human prostate cancer associated fibroblasts (PF179TCAF) w/ shGR treated with Dox+Dex,Homo sapiens,9606,total RNA,biotin,gene expression profiling of treated CAFs,GPL23126,"Martin,,Puhr",martin.puhr@i-med.ac.at,Division of Experimental Urology,Department of Urology,Medical University of Innsbruck,Anichstrasse 35,Innsbruck,6020,Austria,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4550nnn/GSM4550548/suppl/GSM4550548_A3641_09.CEL.gz,GSE150432,138745,,Log2 RMA signal,GSM4550548,Doxycycline+Dexamethasone,1ug/ml (Dox)+100nM(Dex)
pf179tcaf-shgr-1_ru486+dex_rep1,,,,,,,PF179TCAF-shGR-1_RU486+Dex_rep1,GSM4550549,Public on Jun 01 2021,May 12 2020,Jun 01 2021,RNA,1,Immortalized primary human prostate cancer associated fibroblasts (PF179TCAF) w/ shGR treated with RU486+Dex,Homo sapiens,9606,total RNA,biotin,gene expression profiling of treated CAFs,GPL23126,"Martin,,Puhr",martin.puhr@i-med.ac.at,Division of Experimental Urology,Department of Urology,Medical University of Innsbruck,Anichstrasse 35,Innsbruck,6020,Austria,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4550nnn/GSM4550549/suppl/GSM4550549_A3641_10.CEL.gz,GSE150432,138745,,Log2 RMA signal,GSM4550549,RU486+Dexamethasone,12uM (RU486)+100nM (Dex)
