sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_characteristics_ch1,sample_molecule_ch1,sample_label_ch1,sample_organism_ch2,sample_taxid_ch2,sample_molecule_ch2,sample_label_ch2,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_phone,sample_contact_fax,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key,treatment,tissue,time
prostate_castrated_0_day_rep1,,,,,,,Prostate castrated 0 day rep1,GSM446320,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 0 day",Homo sapiens,9606,time (days): 0,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446320/suppl/GSM446320_2004-12-03-HuOli-30K-P2-G4-slide-3000236829.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446320,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_1_day_rep1,,,,,,,Prostate castrated 1 day rep1,GSM446321,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 1 day",Homo sapiens,9606,time (days): 1,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446321/suppl/GSM446321_2004-12-03-HuOli-30K-P2-G4-slide-3000236830.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446321,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_3_day_rep1,,,,,,,Prostate castrated 3 day rep1,GSM446322,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 3 day",Homo sapiens,9606,time (days): 3,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446322/suppl/GSM446322_2004-12-03-HuOli-30K-P2-G4-slide-3000236831.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446322,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_7_day_rep1,,,,,,,Prostate castrated 7 day rep1,GSM446323,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 7 day",Homo sapiens,9606,time (days): 7,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446323/suppl/GSM446323_2004-12-03-HuOli-30K-P2-G4-slide-3000236832.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446323,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_14_day_rep1,,,,,,,Prostate castrated 14 day rep1,GSM446324,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 14 day",Homo sapiens,9606,time (days): 14,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446324/suppl/GSM446324_2004-12-03-HuOli-30K-P2-G4-slide-3000236833.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446324,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_0_day_rep2,,,,,,,Prostate castrated 0 day rep2,GSM446325,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 0 day",Homo sapiens,9606,time (days): 0,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446325/suppl/GSM446325_2004-12-03-HuOli-30K-P2-G4-slide-3000236834.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446325,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_1_day_rep2,,,,,,,Prostate castrated 1 day rep2,GSM446326,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 1 day",Homo sapiens,9606,time (days): 1,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446326/suppl/GSM446326_2004-12-03-HuOli-30K-P2-G4-slide-3000236835.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446326,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_3_day_rep2,,,,,,,Prostate castrated 3 day rep2,GSM446327,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 3 day",Homo sapiens,9606,time (days): 3,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446327/suppl/GSM446327_2004-12-07-HuOli-30K-P2-G4-slide-3000236849.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446327,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_7_day_rep2,,,,,,,Prostate castrated 7 day rep2,GSM446328,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 7 day",Homo sapiens,9606,time (days): 7,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446328/suppl/GSM446328_2004-12-03-HuOli-30K-P2-G4-slide-3000236838.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446328,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_14_day_rep2,,,,,,,Prostate castrated 14 day rep2,GSM446329,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 14 day",Homo sapiens,9606,time (days): 14,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446329/suppl/GSM446329_2004-12-03-HuOli-30K-P2-G4-slide-3000236837.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446329,castratedcastrated,prostate xenograftprostate xenograft,0
