sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_label_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key,tissue,phenotype
neoadjuvant_hormonal_therapy_resistance_1,,,,,,,neoadjuvant hormonal therapy resistance 1,GSM5665262,Public on Nov 01 2022,Nov 02 2021,Nov 02 2022,RNA,1,prostate cancer,Homo sapiens,9606,total RNA,CY3,"mirna expression profile, STJ",GPL20712,"Jing,,Hu",waterfall_1988@aliyun.com,Department of Pathology,Shandong University,Wenhua xi road,Jinan,250012,China,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5665nnn/GSM5665262/suppl/GSM5665262_STJ.txt.gz,GSE186994,2570,,normalized intensity,GSM5665262,prostate cancer,neoadjuvant hormonal therapy resistance
neoadjuvant_hormonal_therapy_resistance_2,,,,,,,neoadjuvant hormonal therapy resistance 2,GSM5665263,Public on Nov 01 2022,Nov 02 2021,Nov 02 2022,RNA,1,prostate cancer,Homo sapiens,9606,total RNA,CY3,"mirna expression profile, WG",GPL20712,"Jing,,Hu",waterfall_1988@aliyun.com,Department of Pathology,Shandong University,Wenhua xi road,Jinan,250012,China,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5665nnn/GSM5665263/suppl/GSM5665263_WG.txt.gz,GSE186994,2570,,normalized intensity,GSM5665263,prostate cancer,neoadjuvant hormonal therapy resistance
neoadjuvant_hormonal_therapy_resistance_3,,,,,,,neoadjuvant hormonal therapy resistance 3,GSM5665264,Public on Nov 01 2022,Nov 02 2021,Nov 02 2022,RNA,1,prostate cancer,Homo sapiens,9606,total RNA,CY3,"mirna expression profile, ZJS",GPL20712,"Jing,,Hu",waterfall_1988@aliyun.com,Department of Pathology,Shandong University,Wenhua xi road,Jinan,250012,China,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5665nnn/GSM5665264/suppl/GSM5665264_ZJS.txt.gz,GSE186994,2570,,normalized intensity,GSM5665264,prostate cancer,neoadjuvant hormonal therapy resistance
neoadjuvant_hormonal_therapy_resistance_4,,,,,,,neoadjuvant hormonal therapy resistance 4,GSM5665265,Public on Nov 01 2022,Nov 02 2021,Nov 02 2022,RNA,1,prostate cancer,Homo sapiens,9606,total RNA,CY3,"mirna expression profile, ZSF",GPL20712,"Jing,,Hu",waterfall_1988@aliyun.com,Department of Pathology,Shandong University,Wenhua xi road,Jinan,250012,China,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5665nnn/GSM5665265/suppl/GSM5665265_ZSF.txt.gz,GSE186994,2570,,normalized intensity,GSM5665265,prostate cancer,neoadjuvant hormonal therapy resistance
neoadjuvant_hormonal_therapy_resistance_5,,,,,,,neoadjuvant hormonal therapy resistance 5,GSM5665266,Public on Nov 01 2022,Nov 02 2021,Nov 02 2022,RNA,1,prostate cancer,Homo sapiens,9606,total RNA,CY3,"mirna expression profile, LQT",GPL20712,"Jing,,Hu",waterfall_1988@aliyun.com,Department of Pathology,Shandong University,Wenhua xi road,Jinan,250012,China,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5665nnn/GSM5665266/suppl/GSM5665266_LQT.txt.gz,GSE186994,2570,,normalized intensity,GSM5665266,prostate cancer,neoadjuvant hormonal therapy resistance
neoadjuvant_hormonal_therapy_sensitivity_1,,,,,,,neoadjuvant hormonal therapy sensitivity 1,GSM5665267,Public on Nov 01 2022,Nov 02 2021,Nov 02 2022,RNA,1,prostate cancer,Homo sapiens,9606,total RNA,CY3,"mirna expression profile, BRX",GPL20712,"Jing,,Hu",waterfall_1988@aliyun.com,Department of Pathology,Shandong University,Wenhua xi road,Jinan,250012,China,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5665nnn/GSM5665267/suppl/GSM5665267_BRX.txt.gz,GSE186994,2570,,normalized intensity,GSM5665267,prostate cancer,neoadjuvant hormonal therapy sensitivity
neoadjuvant_hormonal_therapy_sensitivity_2,,,,,,,neoadjuvant hormonal therapy sensitivity 2,GSM5665268,Public on Nov 01 2022,Nov 02 2021,Nov 02 2022,RNA,1,prostate cancer,Homo sapiens,9606,total RNA,CY3,"mirna expression profile, FSH",GPL20712,"Jing,,Hu",waterfall_1988@aliyun.com,Department of Pathology,Shandong University,Wenhua xi road,Jinan,250012,China,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5665nnn/GSM5665268/suppl/GSM5665268_FSH.txt.gz,GSE186994,2570,,normalized intensity,GSM5665268,prostate cancer,neoadjuvant hormonal therapy sensitivity
neoadjuvant_hormonal_therapy_sensitivity_3,,,,,,,neoadjuvant hormonal therapy sensitivity 3,GSM5665269,Public on Nov 01 2022,Nov 02 2021,Nov 02 2022,RNA,1,prostate cancer,Homo sapiens,9606,total RNA,CY3,"mirna expression profile, LKL",GPL20712,"Jing,,Hu",waterfall_1988@aliyun.com,Department of Pathology,Shandong University,Wenhua xi road,Jinan,250012,China,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5665nnn/GSM5665269/suppl/GSM5665269_LKL.txt.gz,GSE186994,2570,,normalized intensity,GSM5665269,prostate cancer,neoadjuvant hormonal therapy sensitivity
neoadjuvant_hormonal_therapy_sensitivity_4,,,,,,,neoadjuvant hormonal therapy sensitivity 4,GSM5665270,Public on Nov 01 2022,Nov 02 2021,Nov 02 2022,RNA,1,prostate cancer,Homo sapiens,9606,total RNA,CY3,"mirna expression profile, SGX",GPL20712,"Jing,,Hu",waterfall_1988@aliyun.com,Department of Pathology,Shandong University,Wenhua xi road,Jinan,250012,China,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5665nnn/GSM5665270/suppl/GSM5665270_SGX.txt.gz,GSE186994,2570,,normalized intensity,GSM5665270,prostate cancer,neoadjuvant hormonal therapy sensitivity
neoadjuvant_hormonal_therapy_sensitivity_5,,,,,,,neoadjuvant hormonal therapy sensitivity 5,GSM5665271,Public on Nov 01 2022,Nov 02 2021,Nov 02 2022,RNA,1,prostate cancer,Homo sapiens,9606,total RNA,CY3,"mirna expression profile, ZDS",GPL20712,"Jing,,Hu",waterfall_1988@aliyun.com,Department of Pathology,Shandong University,Wenhua xi road,Jinan,250012,China,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5665nnn/GSM5665271/suppl/GSM5665271_ZDS.txt.gz,GSE186994,2570,,normalized intensity,GSM5665271,prostate cancer,neoadjuvant hormonal therapy sensitivity
