sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_platform_id,sample_contact_name,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,aldh_expression,treatment,mouse_strain,biosample,sra
m_control_01,,,,,,,m_control_01,GSM5824351,Public on Jan 22 2022,Jan 19 2022,Jan 23 2022,SRA,1,prostate,Homo sapiens,9606,total RNA,GPL20301,"Claudia,,Peitzsch",Center for Regenerative Therapies Dresden (CRTD),-,Dresden,01067,Germany,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM5824351,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5824nnn/GSM5824351/suppl/GSM5824351_control-01-x_ALDH-minus.featureCounts.csv.gz,GSE193963,0,SRX13829141,DU145 xenograft tumor,ALDH-,control,NMRI-Foxn1 nu/nu immune-deficient,https://www.ncbi.nlm.nih.gov/biosample/SAMN25117944,https://www.ncbi.nlm.nih.gov/sra?term=SRX13829141
m_control_02,,,,,,,m_control_02,GSM5824352,Public on Jan 22 2022,Jan 19 2022,Jan 23 2022,SRA,1,prostate,Homo sapiens,9606,total RNA,GPL20301,"Claudia,,Peitzsch",Center for Regenerative Therapies Dresden (CRTD),-,Dresden,01067,Germany,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM5824352,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5824nnn/GSM5824352/suppl/GSM5824352_control-02-x_ALDH-minus.featureCounts.csv.gz,GSE193963,0,SRX13829142,DU145 xenograft tumor,ALDH-,control,NMRI-Foxn1 nu/nu immune-deficient,https://www.ncbi.nlm.nih.gov/biosample/SAMN25117943,https://www.ncbi.nlm.nih.gov/sra?term=SRX13829142
m_control_03,,,,,,,m_control_03,GSM5824353,Public on Jan 22 2022,Jan 19 2022,Jan 23 2022,SRA,1,prostate,Homo sapiens,9606,total RNA,GPL20301,"Claudia,,Peitzsch",Center for Regenerative Therapies Dresden (CRTD),-,Dresden,01067,Germany,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM5824353,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5824nnn/GSM5824353/suppl/GSM5824353_control-03-x_ALDH-minus.featureCounts.csv.gz,GSE193963,0,SRX13829143,DU145 xenograft tumor,ALDH-,control,NMRI-Foxn1 nu/nu immune-deficient,https://www.ncbi.nlm.nih.gov/biosample/SAMN25117942,https://www.ncbi.nlm.nih.gov/sra?term=SRX13829143
m_50gy_01,,,,,,,m_50gy_01,GSM5824354,Public on Jan 22 2022,Jan 19 2022,Jan 23 2022,SRA,1,prostate,Homo sapiens,9606,total RNA,GPL20301,"Claudia,,Peitzsch",Center for Regenerative Therapies Dresden (CRTD),-,Dresden,01067,Germany,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM5824354,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5824nnn/GSM5824354/suppl/GSM5824354_50gy-01-x_ALDH-minus.featureCounts.csv.gz,GSE193963,0,SRX13829144,DU145 xenograft tumor,ALDH-,irradiated,NMRI-Foxn1 nu/nu immune-deficient,https://www.ncbi.nlm.nih.gov/biosample/SAMN25117941,https://www.ncbi.nlm.nih.gov/sra?term=SRX13829144
m_50gy_02,,,,,,,m_50gy_02,GSM5824355,Public on Jan 22 2022,Jan 19 2022,Jan 23 2022,SRA,1,prostate,Homo sapiens,9606,total RNA,GPL20301,"Claudia,,Peitzsch",Center for Regenerative Therapies Dresden (CRTD),-,Dresden,01067,Germany,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM5824355,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5824nnn/GSM5824355/suppl/GSM5824355_50gy-02-x_ALDH-minus.featureCounts.csv.gz,GSE193963,0,SRX13829145,DU145 xenograft tumor,ALDH-,irradiated,NMRI-Foxn1 nu/nu immune-deficient,https://www.ncbi.nlm.nih.gov/biosample/SAMN25117940,https://www.ncbi.nlm.nih.gov/sra?term=SRX13829145
m_50gy_03,,,,,,,m_50gy_03,GSM5824356,Public on Jan 22 2022,Jan 19 2022,Jan 23 2022,SRA,1,prostate,Homo sapiens,9606,total RNA,GPL20301,"Claudia,,Peitzsch",Center for Regenerative Therapies Dresden (CRTD),-,Dresden,01067,Germany,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM5824356,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5824nnn/GSM5824356/suppl/GSM5824356_50gy-03-x_ALDH-minus.featureCounts.csv.gz,GSE193963,0,SRX13829146,DU145 xenograft tumor,ALDH-,irradiated,NMRI-Foxn1 nu/nu immune-deficient,https://www.ncbi.nlm.nih.gov/biosample/SAMN25117939,https://www.ncbi.nlm.nih.gov/sra?term=SRX13829146
p_control_01,,,,,,,p_control_01,GSM5824357,Public on Jan 22 2022,Jan 19 2022,Jan 23 2022,SRA,1,prostate,Homo sapiens,9606,total RNA,GPL20301,"Claudia,,Peitzsch",Center for Regenerative Therapies Dresden (CRTD),-,Dresden,01067,Germany,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM5824357,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5824nnn/GSM5824357/suppl/GSM5824357_control-01-x_ALDH-plus.featureCounts.csv.gz,GSE193963,0,SRX13829147,DU145 xenograft tumor,ALDH+,control,NMRI-Foxn1 nu/nu immune-deficient,https://www.ncbi.nlm.nih.gov/biosample/SAMN25117938,https://www.ncbi.nlm.nih.gov/sra?term=SRX13829147
p_control_02,,,,,,,p_control_02,GSM5824358,Public on Jan 22 2022,Jan 19 2022,Jan 23 2022,SRA,1,prostate,Homo sapiens,9606,total RNA,GPL20301,"Claudia,,Peitzsch",Center for Regenerative Therapies Dresden (CRTD),-,Dresden,01067,Germany,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM5824358,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5824nnn/GSM5824358/suppl/GSM5824358_control-02-x_ALDH-plus.featureCounts.csv.gz,GSE193963,0,SRX13829148,DU145 xenograft tumor,ALDH+,control,NMRI-Foxn1 nu/nu immune-deficient,https://www.ncbi.nlm.nih.gov/biosample/SAMN25117937,https://www.ncbi.nlm.nih.gov/sra?term=SRX13829148
p_control_03,,,,,,,p_control_03,GSM5824359,Public on Jan 22 2022,Jan 19 2022,Jan 23 2022,SRA,1,prostate,Homo sapiens,9606,total RNA,GPL20301,"Claudia,,Peitzsch",Center for Regenerative Therapies Dresden (CRTD),-,Dresden,01067,Germany,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM5824359,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5824nnn/GSM5824359/suppl/GSM5824359_control-03-x_ALDH-plus.featureCounts.csv.gz,GSE193963,0,SRX13829149,DU145 xenograft tumor,ALDH+,control,NMRI-Foxn1 nu/nu immune-deficient,https://www.ncbi.nlm.nih.gov/biosample/SAMN25117936,https://www.ncbi.nlm.nih.gov/sra?term=SRX13829149
p_50gy_01,,,,,,,p_50gy_01,GSM5824360,Public on Jan 22 2022,Jan 19 2022,Jan 23 2022,SRA,1,prostate,Homo sapiens,9606,total RNA,GPL20301,"Claudia,,Peitzsch",Center for Regenerative Therapies Dresden (CRTD),-,Dresden,01067,Germany,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM5824360,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5824nnn/GSM5824360/suppl/GSM5824360_50gy-01-x_ALDH-plus.featureCounts.csv.gz,GSE193963,0,SRX13829150,DU145 xenograft tumor,ALDH+,irradiated,NMRI-Foxn1 nu/nu immune-deficient,https://www.ncbi.nlm.nih.gov/biosample/SAMN25117935,https://www.ncbi.nlm.nih.gov/sra?term=SRX13829150
