sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_label_ch1,sample_label_protocol_ch1,sample_hyb_protocol,sample_scan_protocol,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key,tissue_type,stage
kucap2_ad_1,,,,,,,KUCaP2_AD_1,GSM544229,Public on May 19 2010,May 18 2010,May 18 2010,RNA,1,Xenograft tissue,Homo sapiens,9606,total RNA,biotin,According to Affymetrix protocol,According to Affymetrix protocol,According to Affymetrix protocol,KUCaP2_AD_1,GPL570,"Naoki,,Terada",nterada@kuhp.kyoto-u.ac.jp,Kyoto University,Department of Urology,Naoki Terada,"54, Shogoinkawahara-cho, Sakyo-ku",Kyoto,606-8501,Japan,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM544nnn/GSM544229/suppl/GSM544229.CEL.gz,GSE21887,54675,,RMA signal,GSM544229,Human prostate cancer xenograft,androgen-dependent growth
kucap2_ad_2,,,,,,,KUCaP2_AD_2,GSM544230,Public on May 19 2010,May 18 2010,May 18 2010,RNA,1,Xenograft tissue,Homo sapiens,9606,total RNA,biotin,According to Affymetrix protocol,According to Affymetrix protocol,According to Affymetrix protocol,KUCaP2_AD_2,GPL570,"Naoki,,Terada",nterada@kuhp.kyoto-u.ac.jp,Kyoto University,Department of Urology,Naoki Terada,"54, Shogoinkawahara-cho, Sakyo-ku",Kyoto,606-8501,Japan,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM544nnn/GSM544230/suppl/GSM544230.CEL.gz,GSE21887,54675,,RMA signal,GSM544230,Human prostate cancer xenograft,androgen-dependent growth
kucap2_ad_3,,,,,,,KUCaP2_AD_3,GSM544231,Public on May 19 2010,May 18 2010,May 18 2010,RNA,1,Xenograft tissue,Homo sapiens,9606,total RNA,biotin,According to Affymetrix protocol,According to Affymetrix protocol,According to Affymetrix protocol,KUCaP2_AD_3,GPL570,"Naoki,,Terada",nterada@kuhp.kyoto-u.ac.jp,Kyoto University,Department of Urology,Naoki Terada,"54, Shogoinkawahara-cho, Sakyo-ku",Kyoto,606-8501,Japan,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM544nnn/GSM544231/suppl/GSM544231.CEL.gz,GSE21887,54675,,RMA signal,GSM544231,Human prostate cancer xenograft,androgen-dependent growth
kucap2_ad_4,,,,,,,KUCaP2_AD_4,GSM544232,Public on May 19 2010,May 18 2010,May 18 2010,RNA,1,Xenograft tissue,Homo sapiens,9606,total RNA,biotin,According to Affymetrix protocol,According to Affymetrix protocol,According to Affymetrix protocol,KUCaP2_AD_4,GPL570,"Naoki,,Terada",nterada@kuhp.kyoto-u.ac.jp,Kyoto University,Department of Urology,Naoki Terada,"54, Shogoinkawahara-cho, Sakyo-ku",Kyoto,606-8501,Japan,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM544nnn/GSM544232/suppl/GSM544232.CEL.gz,GSE21887,54675,,RMA signal,GSM544232,Human prostate cancer xenograft,androgen-dependent growth
kucap2_nd_1,,,,,,,KUCaP2_ND_1,GSM544233,Public on May 19 2010,May 18 2010,May 18 2010,RNA,1,Xenograft tissue,Homo sapiens,9606,total RNA,biotin,According to Affymetrix protocol,According to Affymetrix protocol,According to Affymetrix protocol,KUCaP2_ND_1,GPL570,"Naoki,,Terada",nterada@kuhp.kyoto-u.ac.jp,Kyoto University,Department of Urology,Naoki Terada,"54, Shogoinkawahara-cho, Sakyo-ku",Kyoto,606-8501,Japan,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM544nnn/GSM544233/suppl/GSM544233.CEL.gz,GSE21887,54675,,RMA signal,GSM544233,Human prostate cancer xenograft,castration-induced regression nadir
kucap2_nd_2,,,,,,,KUCaP2_ND_2,GSM544234,Public on May 19 2010,May 18 2010,May 18 2010,RNA,1,Xenograft tissue,Homo sapiens,9606,total RNA,biotin,According to Affymetrix protocol,According to Affymetrix protocol,According to Affymetrix protocol,KUCaP2_ND_2,GPL570,"Naoki,,Terada",nterada@kuhp.kyoto-u.ac.jp,Kyoto University,Department of Urology,Naoki Terada,"54, Shogoinkawahara-cho, Sakyo-ku",Kyoto,606-8501,Japan,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM544nnn/GSM544234/suppl/GSM544234.CEL.gz,GSE21887,54675,,RMA signal,GSM544234,Human prostate cancer xenograft,castration-induced regression nadir
kucap2_nd_3,,,,,,,KUCaP2_ND_3,GSM544235,Public on May 19 2010,May 18 2010,May 18 2010,RNA,1,Xenograft tissue,Homo sapiens,9606,total RNA,biotin,According to Affymetrix protocol,According to Affymetrix protocol,According to Affymetrix protocol,KUCaP2_ND_3,GPL570,"Naoki,,Terada",nterada@kuhp.kyoto-u.ac.jp,Kyoto University,Department of Urology,Naoki Terada,"54, Shogoinkawahara-cho, Sakyo-ku",Kyoto,606-8501,Japan,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM544nnn/GSM544235/suppl/GSM544235.CEL.gz,GSE21887,54675,,RMA signal,GSM544235,Human prostate cancer xenograft,castration-induced regression nadir
kucap2_nd_4,,,,,,,KUCaP2_ND_4,GSM544236,Public on May 19 2010,May 18 2010,May 18 2010,RNA,1,Xenograft tissue,Homo sapiens,9606,total RNA,biotin,According to Affymetrix protocol,According to Affymetrix protocol,According to Affymetrix protocol,KUCaP2_ND_4,GPL570,"Naoki,,Terada",nterada@kuhp.kyoto-u.ac.jp,Kyoto University,Department of Urology,Naoki Terada,"54, Shogoinkawahara-cho, Sakyo-ku",Kyoto,606-8501,Japan,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM544nnn/GSM544236/suppl/GSM544236.CEL.gz,GSE21887,54675,,RMA signal,GSM544236,Human prostate cancer xenograft,castration-induced regression nadir
kucap2_cr_1,,,,,,,KUCaP2_CR_1,GSM544237,Public on May 19 2010,May 18 2010,May 18 2010,RNA,1,Xenograft tissue,Homo sapiens,9606,total RNA,biotin,According to Affymetrix protocol,According to Affymetrix protocol,According to Affymetrix protocol,KUCaP2_CR_1,GPL570,"Naoki,,Terada",nterada@kuhp.kyoto-u.ac.jp,Kyoto University,Department of Urology,Naoki Terada,"54, Shogoinkawahara-cho, Sakyo-ku",Kyoto,606-8501,Japan,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM544nnn/GSM544237/suppl/GSM544237.CEL.gz,GSE21887,54675,,RMA signal,GSM544237,Human prostate cancer xenograft,castration-resistant regrowth
kucap2_cr_2,,,,,,,KUCaP2_CR_2,GSM544238,Public on May 19 2010,May 18 2010,May 18 2010,RNA,1,Xenograft tissue,Homo sapiens,9606,total RNA,biotin,According to Affymetrix protocol,According to Affymetrix protocol,According to Affymetrix protocol,KUCaP2_CR_2,GPL570,"Naoki,,Terada",nterada@kuhp.kyoto-u.ac.jp,Kyoto University,Department of Urology,Naoki Terada,"54, Shogoinkawahara-cho, Sakyo-ku",Kyoto,606-8501,Japan,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM544nnn/GSM544238/suppl/GSM544238.CEL.gz,GSE21887,54675,,RMA signal,GSM544238,Human prostate cancer xenograft,castration-resistant regrowth
