sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_label_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key,treatment,concentration
pcaf_dmso_pat1,,,,,,,PCAF_DMSO_PAT1,GSM7698645,Public on Aug 10 2024,Aug 09 2023,Aug 10 2024,RNA,1,Primary human prostate cancer associated fibroblasts (PAT1; 3148)  treated with DMSO,Homo sapiens,9606,total RNA,biotin,gene expression profiling of treated primary CAFs,GPL23126,"Martin,,Puhr",martin.puhr@i-med.ac.at,Division Experimental Urology,Department of Urology,Medical University of Innsbruck,Anich street 35,Innsbruck,Tyrol,6020,Austria,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7698nnn/GSM7698645/suppl/GSM7698645_A3641_13.CEL.gz,GSE240480,138745,,Log2 RMA signal,GSM7698645,DMSO,Control
pcaf_dmso_pat2,,,,,,,PCAF_DMSO_PAT2,GSM7698646,Public on Aug 10 2024,Aug 09 2023,Aug 10 2024,RNA,1,Primary human prostate cancer associated fibroblasts (PAT2; 1341)  treated with DMSO,Homo sapiens,9606,total RNA,biotin,gene expression profiling of treated primary CAFs,GPL23126,"Martin,,Puhr",martin.puhr@i-med.ac.at,Division Experimental Urology,Department of Urology,Medical University of Innsbruck,Anich street 35,Innsbruck,Tyrol,6020,Austria,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7698nnn/GSM7698646/suppl/GSM7698646_A3641_14.CEL.gz,GSE240480,138745,,Log2 RMA signal,GSM7698646,DMSO,Control
pcaf_dmso_pat3,,,,,,,PCAF_DMSO_PAT3,GSM7698647,Public on Aug 10 2024,Aug 09 2023,Aug 10 2024,RNA,1,Primary human prostate cancer associated fibroblasts (PAT3; 5201)  treated with DMSO,Homo sapiens,9606,total RNA,biotin,gene expression profiling of treated primary CAFs,GPL23126,"Martin,,Puhr",martin.puhr@i-med.ac.at,Division Experimental Urology,Department of Urology,Medical University of Innsbruck,Anich street 35,Innsbruck,Tyrol,6020,Austria,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7698nnn/GSM7698647/suppl/GSM7698647_A3641_15.CEL.gz,GSE240480,138745,,Log2 RMA signal,GSM7698647,DMSO,Control
pcaf_dmso_pat4,,,,,,,PCAF_DMSO_PAT4,GSM7698648,Public on Aug 10 2024,Aug 09 2023,Aug 10 2024,RNA,1,Primary human prostate cancer associated fibroblasts (PAT4; 1869)  treated with DMSO,Homo sapiens,9606,total RNA,biotin,gene expression profiling of treated primary CAFs,GPL23126,"Martin,,Puhr",martin.puhr@i-med.ac.at,Division Experimental Urology,Department of Urology,Medical University of Innsbruck,Anich street 35,Innsbruck,Tyrol,6020,Austria,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7698nnn/GSM7698648/suppl/GSM7698648_A3641_16.CEL.gz,GSE240480,138745,,Log2 RMA signal,GSM7698648,DMSO,Control
pcaf_dex_pat1,,,,,,,PCAF_DEX_PAT1,GSM7698649,Public on Aug 10 2024,Aug 09 2023,Aug 10 2024,RNA,1,Primary human prostate cancer associated fibroblasts (PAT1; 3148)  treated with Dex,Homo sapiens,9606,total RNA,biotin,gene expression profiling of treated primary CAFs,GPL23126,"Martin,,Puhr",martin.puhr@i-med.ac.at,Division Experimental Urology,Department of Urology,Medical University of Innsbruck,Anich street 35,Innsbruck,Tyrol,6020,Austria,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7698nnn/GSM7698649/suppl/GSM7698649_A3641_17.CEL.gz,GSE240480,138745,,Log2 RMA signal,GSM7698649,Dexamethasone,100nM (Dex)
pcaf_dex_pat2,,,,,,,PCAF_DEX_PAT2,GSM7698650,Public on Aug 10 2024,Aug 09 2023,Aug 10 2024,RNA,1,Primary human prostate cancer associated fibroblasts (PAT2; 1341)  treated with Dex,Homo sapiens,9606,total RNA,biotin,gene expression profiling of treated primary CAFs,GPL23126,"Martin,,Puhr",martin.puhr@i-med.ac.at,Division Experimental Urology,Department of Urology,Medical University of Innsbruck,Anich street 35,Innsbruck,Tyrol,6020,Austria,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7698nnn/GSM7698650/suppl/GSM7698650_A3641_18.CEL.gz,GSE240480,138745,,Log2 RMA signal,GSM7698650,Dexamethasone,100nM (Dex)
pcaf_dex_pat3,,,,,,,PCAF_DEX_PAT3,GSM7698651,Public on Aug 10 2024,Aug 09 2023,Aug 10 2024,RNA,1,Primary human prostate cancer associated fibroblasts (PAT3; 5201)  treated with Dex,Homo sapiens,9606,total RNA,biotin,gene expression profiling of treated primary CAFs,GPL23126,"Martin,,Puhr",martin.puhr@i-med.ac.at,Division Experimental Urology,Department of Urology,Medical University of Innsbruck,Anich street 35,Innsbruck,Tyrol,6020,Austria,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7698nnn/GSM7698651/suppl/GSM7698651_A3641_19.CEL.gz,GSE240480,138745,,Log2 RMA signal,GSM7698651,Dexamethasone,100nM (Dex)
pcaf_dex_pat4,,,,,,,PCAF_DEX_PAT4,GSM7698652,Public on Aug 10 2024,Aug 09 2023,Aug 10 2024,RNA,1,Primary human prostate cancer associated fibroblasts (PAT4; 1869)  treated with Dex,Homo sapiens,9606,total RNA,biotin,gene expression profiling of treated primary CAFs,GPL23126,"Martin,,Puhr",martin.puhr@i-med.ac.at,Division Experimental Urology,Department of Urology,Medical University of Innsbruck,Anich street 35,Innsbruck,Tyrol,6020,Austria,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7698nnn/GSM7698652/suppl/GSM7698652_A3641_20.CEL.gz,GSE240480,138745,,Log2 RMA signal,GSM7698652,Dexamethasone,100nM (Dex)
pcaf_ru486_dex_pat1,,,,,,,PCAF_RU486_DEX_PAT1,GSM7698653,Public on Aug 10 2024,Aug 09 2023,Aug 10 2024,RNA,1,Primary human prostate cancer associated fibroblasts (PAT1; 3148)  treated with RU486+Dex,Homo sapiens,9606,total RNA,biotin,gene expression profiling of treated primary CAFs,GPL23126,"Martin,,Puhr",martin.puhr@i-med.ac.at,Division Experimental Urology,Department of Urology,Medical University of Innsbruck,Anich street 35,Innsbruck,Tyrol,6020,Austria,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7698nnn/GSM7698653/suppl/GSM7698653_A3641_21.CEL.gz,GSE240480,138745,,Log2 RMA signal,GSM7698653,RU486+Dexamethasone,12uM (RU486)+100nM (Dex)
pcaf_ru486_dex_pat2,,,,,,,PCAF_RU486_DEX_PAT2,GSM7698654,Public on Aug 10 2024,Aug 09 2023,Aug 10 2024,RNA,1,Primary human prostate cancer associated fibroblasts (PAT2; 1341)  treated with RU486+Dex,Homo sapiens,9606,total RNA,biotin,gene expression profiling of treated primary CAFs,GPL23126,"Martin,,Puhr",martin.puhr@i-med.ac.at,Division Experimental Urology,Department of Urology,Medical University of Innsbruck,Anich street 35,Innsbruck,Tyrol,6020,Austria,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7698nnn/GSM7698654/suppl/GSM7698654_A3641_22.CEL.gz,GSE240480,138745,,Log2 RMA signal,GSM7698654,RU486+Dexamethasone,12uM (RU486)+100nM (Dex)
