sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_characteristics_ch1,sample_molecule_ch1,sample_platform_id,sample_contact_name,sample_contact_phone,sample_contact_laboratory,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,biosample,sra
c_control_bph_0,,,,,,,C_Control_BPH_0,GSM8181767,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181767,NONE,GSE262940,0,SRX24117847,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709709,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117847
c_control_bph_1,,,,,,,C_Control_BPH_1,GSM8181768,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181768,NONE,GSE262940,0,SRX24117848,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709708,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117848
c_control_bph_2,,,,,,,C_Control_BPH_2,GSM8181769,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181769,NONE,GSE262940,0,SRX24117849,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709707,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117849
c_control_bph_3,,,,,,,C_Control_BPH_3,GSM8181770,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181770,NONE,GSE262940,0,SRX24117850,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709706,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117850
c_control_bph_4,,,,,,,C_Control_BPH_4,GSM8181771,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181771,NONE,GSE262940,0,SRX24117851,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709705,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117851
c_control_bph_5,,,,,,,C_Control_BPH_5,GSM8181772,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181772,NONE,GSE262940,0,SRX24117852,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709704,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117852
c_control_bph_6,,,,,,,C_Control_BPH_6,GSM8181773,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181773,NONE,GSE262940,0,SRX24117853,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709703,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117853
c_control_bph_7,,,,,,,C_Control_BPH_7,GSM8181774,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181774,NONE,GSE262940,0,SRX24117854,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709702,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117854
c_control_bph_8,,,,,,,C_Control_BPH_8,GSM8181775,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181775,NONE,GSE262940,0,SRX24117855,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709701,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117855
c_control_bph_9,,,,,,,C_Control_BPH_9,GSM8181776,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181776,NONE,GSE262940,0,SRX24117856,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709700,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117856
c_control_bph_10,,,,,,,C_Control_BPH_10,GSM8181777,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181777,NONE,GSE262940,0,SRX24117857,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709699,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117857
c_control_bph_11,,,,,,,C_Control_BPH_11,GSM8181778,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181778,NONE,GSE262940,0,SRX24117858,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709698,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117858
c_control_bph_12,,,,,,,C_Control_BPH_12,GSM8181779,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181779,NONE,GSE262940,0,SRX24117859,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709697,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117859
c_control_bph_13,,,,,,,C_Control_BPH_13,GSM8181780,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181780,NONE,GSE262940,0,SRX24117860,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709696,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117860
c_control_bph_14,,,,,,,C_Control_BPH_14,GSM8181781,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181781,NONE,GSE262940,0,SRX24117861,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709695,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117861
c_control_bph_15,,,,,,,C_Control_BPH_15,GSM8181782,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181782,NONE,GSE262940,0,SRX24117862,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709694,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117862
