sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_label_ch1,sample_hyb_protocol,sample_scan_protocol,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key,tissue,normal_tumor
prostate_normal_1,,,,,,,prostate normal 1,GSM662756,Public on Mar 31 2011,Jan 27 2011,Mar 31 2011,RNA,1,Normal prostate stroma,Homo sapiens,9606,total RNA,biotin,Standard Affymetrix protocol.,Standard Affymetrix protocol.,"RMA, using the “affy” package from Bioconductor.",GPL570,"Paolo,,Provero",paolo.provero@unito.it,Molecular Biotechnology and Health Sciences,University of Turin,Via Nizza 52,Torino,I-10100,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM662nnn/GSM662756/suppl/GSM662756.CEL.gz,GSE26910,54675,,Log2 RMA signal,GSM662756,prostate,normal
prostate_tumor_1,,,,,,,prostate tumor 1,GSM662757,Public on Mar 31 2011,Jan 27 2011,Mar 31 2011,RNA,1,Stroma associated to prostate invasive tumor,Homo sapiens,9606,total RNA,biotin,Standard Affymetrix protocol.,Standard Affymetrix protocol.,"RMA, using the “affy” package from Bioconductor.",GPL570,"Paolo,,Provero",paolo.provero@unito.it,Molecular Biotechnology and Health Sciences,University of Turin,Via Nizza 52,Torino,I-10100,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM662nnn/GSM662757/suppl/GSM662757.CEL.gz,GSE26910,54675,,Log2 RMA signal,GSM662757,prostate,tumor
prostate_normal_2,,,,,,,prostate normal 2,GSM662758,Public on Mar 31 2011,Jan 27 2011,Mar 31 2011,RNA,1,Normal prostate stroma,Homo sapiens,9606,total RNA,biotin,Standard Affymetrix protocol.,Standard Affymetrix protocol.,"RMA, using the “affy” package from Bioconductor.",GPL570,"Paolo,,Provero",paolo.provero@unito.it,Molecular Biotechnology and Health Sciences,University of Turin,Via Nizza 52,Torino,I-10100,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM662nnn/GSM662758/suppl/GSM662758.CEL.gz,GSE26910,54675,,Log2 RMA signal,GSM662758,prostate,normal
prostate_tumor_2,,,,,,,prostate tumor 2,GSM662759,Public on Mar 31 2011,Jan 27 2011,Mar 31 2011,RNA,1,Stroma associated to prostate invasive tumor,Homo sapiens,9606,total RNA,biotin,Standard Affymetrix protocol.,Standard Affymetrix protocol.,"RMA, using the “affy” package from Bioconductor.",GPL570,"Paolo,,Provero",paolo.provero@unito.it,Molecular Biotechnology and Health Sciences,University of Turin,Via Nizza 52,Torino,I-10100,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM662nnn/GSM662759/suppl/GSM662759.CEL.gz,GSE26910,54675,,Log2 RMA signal,GSM662759,prostate,tumor
prostate_normal_3,,,,,,,prostate normal 3,GSM662760,Public on Mar 31 2011,Jan 27 2011,Mar 31 2011,RNA,1,Normal prostate stroma,Homo sapiens,9606,total RNA,biotin,Standard Affymetrix protocol.,Standard Affymetrix protocol.,"RMA, using the “affy” package from Bioconductor.",GPL570,"Paolo,,Provero",paolo.provero@unito.it,Molecular Biotechnology and Health Sciences,University of Turin,Via Nizza 52,Torino,I-10100,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM662nnn/GSM662760/suppl/GSM662760.CEL.gz,GSE26910,54675,,Log2 RMA signal,GSM662760,prostate,normal
prostate_tumor_3,,,,,,,prostate tumor 3,GSM662761,Public on Mar 31 2011,Jan 27 2011,Mar 31 2011,RNA,1,Stroma associated to prostate invasive tumor,Homo sapiens,9606,total RNA,biotin,Standard Affymetrix protocol.,Standard Affymetrix protocol.,"RMA, using the “affy” package from Bioconductor.",GPL570,"Paolo,,Provero",paolo.provero@unito.it,Molecular Biotechnology and Health Sciences,University of Turin,Via Nizza 52,Torino,I-10100,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM662nnn/GSM662761/suppl/GSM662761.CEL.gz,GSE26910,54675,,Log2 RMA signal,GSM662761,prostate,tumor
prostate_normal_4,,,,,,,prostate normal 4,GSM662762,Public on Mar 31 2011,Jan 27 2011,Mar 31 2011,RNA,1,Normal prostate stroma,Homo sapiens,9606,total RNA,biotin,Standard Affymetrix protocol.,Standard Affymetrix protocol.,"RMA, using the “affy” package from Bioconductor.",GPL570,"Paolo,,Provero",paolo.provero@unito.it,Molecular Biotechnology and Health Sciences,University of Turin,Via Nizza 52,Torino,I-10100,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM662nnn/GSM662762/suppl/GSM662762.CEL.gz,GSE26910,54675,,Log2 RMA signal,GSM662762,prostate,normal
prostate_tumor_4,,,,,,,prostate tumor 4,GSM662763,Public on Mar 31 2011,Jan 27 2011,Mar 31 2011,RNA,1,Stroma associated to prostate invasive tumor,Homo sapiens,9606,total RNA,biotin,Standard Affymetrix protocol.,Standard Affymetrix protocol.,"RMA, using the “affy” package from Bioconductor.",GPL570,"Paolo,,Provero",paolo.provero@unito.it,Molecular Biotechnology and Health Sciences,University of Turin,Via Nizza 52,Torino,I-10100,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM662nnn/GSM662763/suppl/GSM662763.CEL.gz,GSE26910,54675,,Log2 RMA signal,GSM662763,prostate,tumor
prostate_normal_5,,,,,,,prostate normal 5,GSM662764,Public on Mar 31 2011,Jan 27 2011,Mar 31 2011,RNA,1,Normal prostate stroma,Homo sapiens,9606,total RNA,biotin,Standard Affymetrix protocol.,Standard Affymetrix protocol.,"RMA, using the “affy” package from Bioconductor.",GPL570,"Paolo,,Provero",paolo.provero@unito.it,Molecular Biotechnology and Health Sciences,University of Turin,Via Nizza 52,Torino,I-10100,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM662nnn/GSM662764/suppl/GSM662764.CEL.gz,GSE26910,54675,,Log2 RMA signal,GSM662764,prostate,normal
prostate_tumor_5,,,,,,,prostate tumor 5,GSM662765,Public on Mar 31 2011,Jan 27 2011,Mar 31 2011,RNA,1,Stroma associated to prostate invasive tumor,Homo sapiens,9606,total RNA,biotin,Standard Affymetrix protocol.,Standard Affymetrix protocol.,"RMA, using the “affy” package from Bioconductor.",GPL570,"Paolo,,Provero",paolo.provero@unito.it,Molecular Biotechnology and Health Sciences,University of Turin,Via Nizza 52,Torino,I-10100,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM662nnn/GSM662765/suppl/GSM662765.CEL.gz,GSE26910,54675,,Log2 RMA signal,GSM662765,prostate,tumor
