sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_phone,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,cell_type,sra,biosample
cag,,,,,,,CAG,GSM8808612,Public on Feb 21 2025,Feb 21 2025,Feb 21 2025,SRA,1,Prostate tissue,Homo sapiens,9606,total RNA,Library name: Sample1,GPL20301,"Zhengjie,,XIANG",zhengjiexiang0837@gmail.com,+86-17807030017,Nanchang,330006,China,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM8808612,NONE,GSE290219,0,SRX27754803,Prostate tissue,Prostate cancer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27754803,https://www.ncbi.nlm.nih.gov/biosample/SAMN46941000
cyc,,,,,,,CYC,GSM8808613,Public on Feb 21 2025,Feb 21 2025,Feb 21 2025,SRA,1,Prostate tissue,Homo sapiens,9606,total RNA,Library name: Sample2,GPL20301,"Zhengjie,,XIANG",zhengjiexiang0837@gmail.com,+86-17807030017,Nanchang,330006,China,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM8808613,NONE,GSE290219,0,SRX27754804,Prostate tissue,Prostate cancer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27754804,https://www.ncbi.nlm.nih.gov/biosample/SAMN46941001
hlz,,,,,,,HLZ,GSM8808614,Public on Feb 21 2025,Feb 21 2025,Feb 21 2025,SRA,1,Prostate tissue,Homo sapiens,9606,total RNA,Library name: Sample3,GPL20301,"Zhengjie,,XIANG",zhengjiexiang0837@gmail.com,+86-17807030017,Nanchang,330006,China,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM8808614,NONE,GSE290219,0,SRX27754807,Prostate tissue,Prostate cancer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27754807,https://www.ncbi.nlm.nih.gov/biosample/SAMN46941002
hq,,,,,,,HQ,GSM8808615,Public on Feb 21 2025,Feb 21 2025,Feb 21 2025,SRA,1,Prostate tissue,Homo sapiens,9606,total RNA,Library name: Sample4,GPL20301,"Zhengjie,,XIANG",zhengjiexiang0837@gmail.com,+86-17807030017,Nanchang,330006,China,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM8808615,NONE,GSE290219,0,SRX27754808,Prostate tissue,Prostate cancer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27754808,https://www.ncbi.nlm.nih.gov/biosample/SAMN46941003
lcy,,,,,,,LCY,GSM8808616,Public on Feb 21 2025,Feb 21 2025,Feb 21 2025,SRA,1,Prostate tissue,Homo sapiens,9606,total RNA,Library name: Sample5,GPL20301,"Zhengjie,,XIANG",zhengjiexiang0837@gmail.com,+86-17807030017,Nanchang,330006,China,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM8808616,NONE,GSE290219,0,SRX27754809,Prostate tissue,Prostate cancer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27754809,https://www.ncbi.nlm.nih.gov/biosample/SAMN46941004
pwj,,,,,,,PWJ,GSM8808617,Public on Feb 21 2025,Feb 21 2025,Feb 21 2025,SRA,1,Prostate tissue,Homo sapiens,9606,total RNA,Library name: Sample6,GPL20301,"Zhengjie,,XIANG",zhengjiexiang0837@gmail.com,+86-17807030017,Nanchang,330006,China,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM8808617,NONE,GSE290219,0,SRX27754810,Prostate tissue,Prostate cancer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27754810,https://www.ncbi.nlm.nih.gov/biosample/SAMN46941005
qcl,,,,,,,QCL,GSM8808618,Public on Feb 21 2025,Feb 21 2025,Feb 21 2025,SRA,1,Prostate tissue,Homo sapiens,9606,total RNA,Library name: Sample7,GPL20301,"Zhengjie,,XIANG",zhengjiexiang0837@gmail.com,+86-17807030017,Nanchang,330006,China,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM8808618,NONE,GSE290219,0,SRX27754811,Prostate tissue,Prostate cancer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27754811,https://www.ncbi.nlm.nih.gov/biosample/SAMN46941006
wjq,,,,,,,WJQ,GSM8808619,Public on Feb 21 2025,Feb 21 2025,Feb 21 2025,SRA,1,Prostate tissue,Homo sapiens,9606,total RNA,Library name: Sample8,GPL20301,"Zhengjie,,XIANG",zhengjiexiang0837@gmail.com,+86-17807030017,Nanchang,330006,China,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM8808619,NONE,GSE290219,0,SRX27754812,Prostate tissue,Prostate cancer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27754812,https://www.ncbi.nlm.nih.gov/biosample/SAMN46941007
wwc1,,,,,,,WWC1,GSM8808620,Public on Feb 21 2025,Feb 21 2025,Feb 21 2025,SRA,1,Prostate tissue,Homo sapiens,9606,total RNA,Library name: Sample9,GPL20301,"Zhengjie,,XIANG",zhengjiexiang0837@gmail.com,+86-17807030017,Nanchang,330006,China,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM8808620,NONE,GSE290219,0,SRX27754813,Prostate tissue,Prostate cancer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27754813,https://www.ncbi.nlm.nih.gov/biosample/SAMN46941008
wxh,,,,,,,WXH,GSM8808621,Public on Feb 21 2025,Feb 21 2025,Feb 21 2025,SRA,1,Prostate tissue,Homo sapiens,9606,total RNA,Library name: Sample10,GPL20301,"Zhengjie,,XIANG",zhengjiexiang0837@gmail.com,+86-17807030017,Nanchang,330006,China,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM8808621,NONE,GSE290219,0,SRX27754814,Prostate tissue,Prostate cancer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27754814,https://www.ncbi.nlm.nih.gov/biosample/SAMN46941009
