sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_label_ch1,sample_platform_id,sample_contact_name,sample_contact_laboratory,sample_contact_department,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key,tissuer_type,tumor_type
igp102,,,,,,,IGP102,GSM720503,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720503/suppl/GSM720503.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720503,Benign,NA
igp105,,,,,,,IGP105,GSM720504,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720504/suppl/GSM720504.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720504,Tumor,TMPRSS2-ERG Fusion-positive
igp108,,,,,,,IGP108,GSM720505,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720505/suppl/GSM720505.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720505,Benign,NA
igp110,,,,,,,IGP110,GSM720506,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720506/suppl/GSM720506.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720506,Tumor,TMPRSS2-ERG Fusion-negative
igp111,,,,,,,IGP111,GSM720507,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720507/suppl/GSM720507.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720507,Tumor,unclear
igp113,,,,,,,IGP113,GSM720508,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720508/suppl/GSM720508.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720508,Tumor,unclear
igp115,,,,,,,IGP115,GSM720509,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720509/suppl/GSM720509.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720509,Tumor,TMPRSS2-ERG Fusion-positive
igp116,,,,,,,IGP116,GSM720510,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720510/suppl/GSM720510.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720510,Tumor,TMPRSS2-ERG Fusion-negative
igp117,,,,,,,IGP117,GSM720511,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720511/suppl/GSM720511.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720511,Tumor,TMPRSS2-ERG Fusion-positive
igp118,,,,,,,IGP118,GSM720512,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720512/suppl/GSM720512.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720512,Tumor,TMPRSS2-ERG Fusion-negative
