sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_label_ch1,sample_description,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_phone,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key,gender,disease_state,tissue,cell_type,time_of_wbc_and_fatigue_score_collection,individual
10_b,,,,,,,10_b,GSM753571,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, baseline",Homo sapiens,9606,total RNA,biotin,JJB100504_10A,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753571/suppl/GSM753571.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753571,male,non-metastatic prostate cancer,peripheral blood,white blood cells,baseline,10
10_c,,,,,,,10_c,GSM753572,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,matched control,1,"peripheral white blood cells, matched control",Homo sapiens,9606,total RNA,biotin,JJB100504_HV15A,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753572/suppl/GSM753572.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753572,male,healthy,peripheral blood,white blood cells,,
10_d1,,,,,,,10_d1,GSM753573,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D1",Homo sapiens,9606,total RNA,biotin,JJB100504_10B-R,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753573/suppl/GSM753573.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753573,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D1,10
10_d7,,,,,,,10_d7,GSM753574,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D7",Homo sapiens,9606,total RNA,biotin,JJB100504_10C,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753574/suppl/GSM753574.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753574,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D7,10
10_d14,,,,,,,10_d14,GSM753575,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D14",Homo sapiens,9606,total RNA,biotin,JJB100504_10D,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753575/suppl/GSM753575.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753575,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D14,10
10_d21,,,,,,,10_d21,GSM753576,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D21",Homo sapiens,9606,total RNA,biotin,JJB100504_10E,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753576/suppl/GSM753576.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753576,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D21,10
10_d42,,,,,,,10_d42,GSM753577,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D42",Homo sapiens,9606,total RNA,biotin,JJB100504_10F,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753577/suppl/GSM753577.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753577,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D42,10
10_d72,,,,,,,10_d72,GSM753578,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D72",Homo sapiens,9606,total RNA,biotin,JJB100504_10G,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753578/suppl/GSM753578.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753578,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D72 (30 days post-EBRT),10
11a_b,,,,,,,11a_b,GSM753579,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, baseline",Homo sapiens,9606,total RNA,biotin,JJB110112_11A,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753579/suppl/GSM753579.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753579,male,non-metastatic prostate cancer,peripheral blood,white blood cells,baseline,11
11a_c,,,,,,,11a_c,GSM753580,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,matched control,1,"peripheral white blood cells, matched control",Homo sapiens,9606,total RNA,biotin,JJB110112_HV2A,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753580/suppl/GSM753580.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753580,male,healthy,peripheral blood,white blood cells,,
11a_d1,,,,,,,11a_d1,GSM753581,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D1",Homo sapiens,9606,total RNA,biotin,JJB110112_11B,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753581/suppl/GSM753581.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753581,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D1,11
