sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_characteristics_ch1,sample_molecule_ch1,sample_label_ch1,sample_description,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_phone,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key,reanalyzed_by
benign_prostate_tissue_n1,,,,,,,Benign Prostate tissue N1,GSM74875,Public on Sep 20 2005,Sep 17 2005,Aug 28 2018,RNA,1,Prostate,Homo sapiens,9606,"Benign, prostate tissue",total RNA,biotin,benign prostate tissue,Affymetrix Microarray Suite version 5.0,GPL570,"Jianjun,,Yu",jianjun@umich.edu,734-615-1780,Dr. Arul Chinnaiyan,Pathology,University of Michigan,1150 W. Medical Center Dr.,Ann Arbor,MI,48109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM74nnn/GSM74875/suppl/GSM74875.CEL.gz,GSE3325,54675,,MAS5-calculated Signal intensity,GSM74875,GSE64985GSE119087
benign_prostate_tissue_n2,,,,,,,Benign prostate tissue N2,GSM74876,Public on Sep 20 2005,Sep 17 2005,Aug 28 2018,RNA,1,Prostate,Homo sapiens,9606,"Benign, Prostate tissue",total RNA,biotin,benign prostate tissue,Affymetrix Microarray Suite version 5.0,GPL570,"Jianjun,,Yu",jianjun@umich.edu,734-615-1780,Dr. Arul Chinnaiyan,Pathology,University of Michigan,1150 W. Medical Center Dr.,Ann Arbor,MI,48109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM74nnn/GSM74876/suppl/GSM74876.CEL.gz,GSE3325,54675,,MAS5-calculated Signal intensity,GSM74876,GSE64985GSE119087
benign_prostate_tissue_n3,,,,,,,Benign prostate tissue N3,GSM74877,Public on Sep 20 2005,Sep 17 2005,Aug 28 2018,RNA,1,Prostate,Homo sapiens,9606,"Benign, prostate tissue",total RNA,biotin,benign prostate tissue,Affymetrix Microarray Suite version 5.0,GPL570,"Jianjun,,Yu",jianjun@umich.edu,734-615-1780,Dr. Arul Chinnaiyan,Pathology,University of Michigan,1150 W. Medical Center Dr.,Ann Arbor,MI,48109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM74nnn/GSM74877/suppl/GSM74877.CEL.gz,GSE3325,54675,,MAS5-calculated Signal intensity,GSM74877,GSE64985GSE119087
benign_prostate_tissue_n4,,,,,,,Benign prostate tissue N4,GSM74878,Public on Sep 20 2005,Sep 17 2005,Aug 28 2018,RNA,1,Prostate,Homo sapiens,9606,"Benign, Prostate tissue",total RNA,biotin,benign prostate tissue,Affymetrix Microarray Suite version 5.0,GPL570,"Jianjun,,Yu",jianjun@umich.edu,734-615-1780,Dr. Arul Chinnaiyan,Pathology,University of Michigan,1150 W. Medical Center Dr.,Ann Arbor,MI,48109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM74nnn/GSM74878/suppl/GSM74878.CEL.gz,GSE3325,54675,,MAS5-calculated Signal intensity,GSM74878,GSE64985GSE119087
benign_prostate_tissue_nx1,,,,,,,Benign prostate tissue NX1,GSM74879,Public on Sep 20 2005,Sep 17 2005,Aug 28 2018,RNA,1,Prostate,Homo sapiens,9606,"Benign, Pooled, prostate tissue",total RNA,biotin,"benign prostate tissue pool from tissue N1, N2,N3 and N4",Affymetrix Microarray Suite version 5.0,GPL570,"Jianjun,,Yu",jianjun@umich.edu,734-615-1780,Dr. Arul Chinnaiyan,Pathology,University of Michigan,1150 W. Medical Center Dr.,Ann Arbor,MI,48109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM74nnn/GSM74879/suppl/GSM74879.CEL.gz,GSE3325,54675,,MAS5-calculated Signal intensity,GSM74879,GSE64985GSE119087
benign_prostate_tissue_nx2,,,,,,,Benign prostate tissue NX2,GSM74880,Public on Sep 20 2005,Sep 17 2005,Aug 28 2018,RNA,1,Prostate,Homo sapiens,9606,"Benign, pooled tissue, prostate",total RNA,biotin,"benign prostate tissue pool from tissue N1, N2,N3 and N4",Affymetrix Microarray Suite version 5.0,GPL570,"Jianjun,,Yu",jianjun@umich.edu,734-615-1780,Dr. Arul Chinnaiyan,Pathology,University of Michigan,1150 W. Medical Center Dr.,Ann Arbor,MI,48109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM74nnn/GSM74880/suppl/GSM74880.CEL.gz,GSE3325,54675,,MAS5-calculated Signal intensity,GSM74880,GSE64985GSE119087
clinically_localized_primary_prostate_cancer_p1,,,,,,,Clinically localized primary prostate cancer P1,GSM74881,Public on Sep 20 2005,Sep 17 2005,Aug 28 2018,RNA,1,Prostate,Homo sapiens,9606,"Primary, Prostate cancer, localized",total RNA,biotin,clinically localized prostate cancer tissue,Affymetrix Microarray Suite version 5.0,GPL570,"Jianjun,,Yu",jianjun@umich.edu,734-615-1780,Dr. Arul Chinnaiyan,Pathology,University of Michigan,1150 W. Medical Center Dr.,Ann Arbor,MI,48109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM74nnn/GSM74881/suppl/GSM74881.CEL.gz,GSE3325,54675,,MAS5-calculated Signal intensity,GSM74881,GSE64985GSE119087
clinically_localized_primary_prostate_cancer_p2,,,,,,,Clinically localized primary prostate cancer P2,GSM74882,Public on Sep 20 2005,Sep 17 2005,Aug 28 2018,RNA,1,Prostate,Homo sapiens,9606,"Primary, localized, prostate cancer",total RNA,biotin,clinically localized prostate cancer tissue,Affymetrix Microarray Suite version 5.0,GPL570,"Jianjun,,Yu",jianjun@umich.edu,734-615-1780,Dr. Arul Chinnaiyan,Pathology,University of Michigan,1150 W. Medical Center Dr.,Ann Arbor,MI,48109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM74nnn/GSM74882/suppl/GSM74882.CEL.gz,GSE3325,54675,,MAS5-calculated Signal intensity,GSM74882,GSE64985GSE119087
clinically_localized_primary_prostate_cancer_p3,,,,,,,Clinically localized primary prostate cancer P3,GSM74883,Public on Sep 20 2005,Sep 17 2005,Aug 28 2018,RNA,1,Prostate,Homo sapiens,9606,"Primary, localized, prostate cancer",total RNA,biotin,clinically localized prostate cancer tissue,Affymetrix Microarray Suite version 5.0,GPL570,"Jianjun,,Yu",jianjun@umich.edu,734-615-1780,Dr. Arul Chinnaiyan,Pathology,University of Michigan,1150 W. Medical Center Dr.,Ann Arbor,MI,48109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM74nnn/GSM74883/suppl/GSM74883.CEL.gz,GSE3325,54675,,MAS5-calculated Signal intensity,GSM74883,GSE64985GSE119087
clinically_localized_primary_prostate_cancer_p4,,,,,,,Clinically localized primary prostate cancer P4,GSM74884,Public on Sep 20 2005,Sep 17 2005,Aug 28 2018,RNA,1,Prostate,Homo sapiens,9606,"Primary, localized, prostate cancer",total RNA,biotin,clinically localized prostate cancer tissue,Affymetrix Microarray Suite version 5.0,GPL570,"Jianjun,,Yu",jianjun@umich.edu,734-615-1780,Dr. Arul Chinnaiyan,Pathology,University of Michigan,1150 W. Medical Center Dr.,Ann Arbor,MI,48109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM74nnn/GSM74884/suppl/GSM74884.CEL.gz,GSE3325,54675,,MAS5-calculated Signal intensity,GSM74884,GSE64985GSE119087
