sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_characteristics_ch1,sample_molecule_ch1,sample_label_ch1,sample_label_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_phone,sample_contact_fax,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,abs_call,detection_p-value,big_key
human_prostate_cancer_primary_culture_c1dx,,,,,,,Human prostate cancer primary culture C1dx,GSM88347,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human prostate tumor,Homo sapiens,9606,Epithelial prostate primary cells from fresh tumor explant.,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,values were generated  by MAS 5.0 all values were scaled by 200,,,GSM88347
human_prostate_cancer_primary_culture_sample_c2dx,,,,,,,Human prostate cancer primary culture  sample C2dx,GSM88351,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human prostate cancer tissue,Homo sapiens,9606,Epithelial prostate primary cells from fresh tumor explant,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,MAS5 scaled to 200,,,GSM88351
human_prostate_cancer_primary_culture_c3dx,,,,,,,Human prostate cancer primary culture C3dx,GSM88353,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human prostate cancer tissue,Homo sapiens,9606,Epithelial prostate primary cells from fresh tumor explant,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,MAS5 scaled to 200,,,GSM88353
human_prostate_cancer_primary_culture_c11sx,,,,,,,Human prostate cancer primary culture C11sx,GSM88360,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human prostate cancer tissue,Homo sapiens,9606,Epithelial prostate primary cells from fresh tumor explant,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,MAS5 scale to 200,,,GSM88360
human_prostate_cancer_primary_culture_c13dx,,,,,,,Human prostate cancer primary culture C13dx,GSM88389,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human prostate cancer tissue,Homo sapiens,9606,Epithelial prostate primary cells from fresh tumor explant,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,MAS5 scaled to 200,,,GSM88389
human_prostate_cancer_primary_culture_c14sx,,,,,,,Human prostate cancer primary culture C14sx,GSM88390,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human prostate cancer tissue,Homo sapiens,9606,Epithelial prostate primary cells from fresh tumor explant,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,MAS5 scaled to 200,,,GSM88390
human_prostate_cancer_primary_culture_c19dx,,,,,,,Human prostate cancer primary culture C19dx,GSM88391,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human prostate tumor tissue,Homo sapiens,9606,Epithelial prostate primary cells from fresh tumor explant,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,MAS5 scaled to 200,,,GSM88391
human_prostate_cancer_primary_culture_c19sx,,,,,,,Human prostate cancer primary culture C19sx,GSM88392,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human prostate cancer tissue,Homo sapiens,9606,Epithelial prostate primary cells from fresh tumor explant,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,MAS5 scaled to 200,,,GSM88392
human_prostate_cancer_primary_culture_c22dx,,,,,,,Human prostate cancer primary culture C22dx,GSM88393,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human prostate cancer tissue,Homo sapiens,9606,Epithelial prostate primary cells from fresh tumor explant,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,MAS5 scaled to 200,,,GSM88393
human_prostate_cancer_primary_culture_c24sx,,,,,,,Human prostate cancer primary culture C24sx,GSM88394,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human prostate cancer tissue,Homo sapiens,9606,Epithelial prostate primary cells from fresh tumor explant,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,MAS5 scaled to 200,,,GSM88394
human_prostate_cancer_primary_culture_c25dx,,,,,,,Human prostate cancer primary culture C25dx,GSM88395,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human prostate tumor tissue,Homo sapiens,9606,Epithelial prostate primary cells from fresh tumor explant,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,MAS5 scaled to 200,,,GSM88395
human_prostate_cancer_primary_culture_c27dx,,,,,,,Human prostate cancer primary culture C27dx,GSM88396,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human prostate cancer tissue,Homo sapiens,9606,Epithelial prostate primary cells from fresh tumor explant,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,MAS5 scaled to 200,,,GSM88396
human_prostate_cancer_primary_culture_c28dx,,,,,,,Human prostate cancer primary culture C28dx,GSM88397,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human prostate cancer tissue,Homo sapiens,9606,Epithelial prostate primary cells from fresh tumor explant,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,MAS5 scaled to 200,,,GSM88397
human_prostate_cancer_primary_culture_c29dx,,,,,,,Human prostate cancer primary culture C29dx,GSM88398,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human prostate cancer tissue,Homo sapiens,9606,Epithelial prostate primary cells from fresh tumor explant,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,"MAS 5.0, scaled to 200",,,GSM88398
