sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,time_point,genome_build,biosample,sra
tax-pre-r1,cDNA,Homo sapiens,PAIRED,SRA,SRR993713,SRX353829,tax-Pre-R1,GSM1234521,Public on Sep 18 2014,Sep 19 2013,May 15 2019,SRA,1,Homo sapiens,9606,total RNA,Pre treatment sample from patient 1,GPL11154,"Ian,,Sudbery",i.sudbery@sheffield.ac.uk,Sudbery Lab for Computational Genomics,Molecular Biology and Biotechnology,University of Sheffield,"Firth Court, Western Bank",Sheffield,S11 8HG,United Kingdom,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM1234521,NONE,GSE51005,0,SRX353829,Prostate Tumour,Pre-treatment,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN02358811,https://www.ncbi.nlm.nih.gov/sra?term=SRX353829
tax-pre-r2,cDNA,Homo sapiens,PAIRED,SRA,SRR993714,SRX353830,tax-Pre-R2,GSM1234522,Public on Sep 18 2014,Sep 19 2013,May 15 2019,SRA,1,Homo sapiens,9606,total RNA,Pre treatment sample from patient 2 (removed from final analysis),GPL11154,"Ian,,Sudbery",i.sudbery@sheffield.ac.uk,Sudbery Lab for Computational Genomics,Molecular Biology and Biotechnology,University of Sheffield,"Firth Court, Western Bank",Sheffield,S11 8HG,United Kingdom,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM1234522,NONE,GSE51005,0,SRX353830,Prostate Tumour,Pre-treatment,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN02358813,https://www.ncbi.nlm.nih.gov/sra?term=SRX353830
tax-pre-r3,cDNA,Homo sapiens,PAIRED,SRA,SRR993715,SRX353831,tax-Pre-R3,GSM1234523,Public on Sep 18 2014,Sep 19 2013,May 15 2019,SRA,1,Homo sapiens,9606,total RNA,Pre treatment sample from patient 3 (removed from final analysis),GPL11154,"Ian,,Sudbery",i.sudbery@sheffield.ac.uk,Sudbery Lab for Computational Genomics,Molecular Biology and Biotechnology,University of Sheffield,"Firth Court, Western Bank",Sheffield,S11 8HG,United Kingdom,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM1234523,NONE,GSE51005,0,SRX353831,Prostate Tumour,Pre-treatment,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN02358812,https://www.ncbi.nlm.nih.gov/sra?term=SRX353831
tax-pre-r4,cDNA,Homo sapiens,PAIRED,SRA,SRR993716,SRX353832,tax-Pre-R4,GSM1234524,Public on Sep 18 2014,Sep 19 2013,May 15 2019,SRA,1,Homo sapiens,9606,total RNA,Pre treatment sample from patient 4,GPL11154,"Ian,,Sudbery",i.sudbery@sheffield.ac.uk,Sudbery Lab for Computational Genomics,Molecular Biology and Biotechnology,University of Sheffield,"Firth Court, Western Bank",Sheffield,S11 8HG,United Kingdom,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM1234524,NONE,GSE51005,0,SRX353832,Prostate Tumour,Pre-treatment,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN02358815,https://www.ncbi.nlm.nih.gov/sra?term=SRX353832
tax-pre-r5,cDNA,Homo sapiens,PAIRED,SRA,SRR993717,SRX353833,tax-Pre-R5,GSM1234525,Public on Sep 18 2014,Sep 19 2013,May 15 2019,SRA,1,Homo sapiens,9606,total RNA,Pre treatment sample from patient 5,GPL11154,"Ian,,Sudbery",i.sudbery@sheffield.ac.uk,Sudbery Lab for Computational Genomics,Molecular Biology and Biotechnology,University of Sheffield,"Firth Court, Western Bank",Sheffield,S11 8HG,United Kingdom,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM1234525,NONE,GSE51005,0,SRX353833,Prostate Tumour,Pre-treatment,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN02358816,https://www.ncbi.nlm.nih.gov/sra?term=SRX353833
tax-pre-r6,cDNA,Homo sapiens,PAIRED,SRA,SRR993718,SRX353834,tax-Pre-R6,GSM1234526,Public on Sep 18 2014,Sep 19 2013,May 15 2019,SRA,1,Homo sapiens,9606,total RNA,Pre treatment sample from patient 6,GPL11154,"Ian,,Sudbery",i.sudbery@sheffield.ac.uk,Sudbery Lab for Computational Genomics,Molecular Biology and Biotechnology,University of Sheffield,"Firth Court, Western Bank",Sheffield,S11 8HG,United Kingdom,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM1234526,NONE,GSE51005,0,SRX353834,Prostate Tumour,Pre-treatment,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN02358818,https://www.ncbi.nlm.nih.gov/sra?term=SRX353834
tax-post-r1,cDNA,Homo sapiens,PAIRED,SRA,SRR993719,SRX353835,tax-Post-R1,GSM1234527,Public on Sep 18 2014,Sep 19 2013,May 15 2019,SRA,1,Homo sapiens,9606,total RNA,Post treatment sample from patient 1,GPL11154,"Ian,,Sudbery",i.sudbery@sheffield.ac.uk,Sudbery Lab for Computational Genomics,Molecular Biology and Biotechnology,University of Sheffield,"Firth Court, Western Bank",Sheffield,S11 8HG,United Kingdom,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM1234527,NONE,GSE51005,0,SRX353835,Prostate Tumour,Post-treatment,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN02358820,https://www.ncbi.nlm.nih.gov/sra?term=SRX353835
tax-post-r2,cDNA,Homo sapiens,PAIRED,SRA,SRR993720,SRX353836,tax-Post-R2,GSM1234528,Public on Sep 18 2014,Sep 19 2013,May 15 2019,SRA,1,Homo sapiens,9606,total RNA,Post treatment sample from patient 2 (removed from final analysis),GPL11154,"Ian,,Sudbery",i.sudbery@sheffield.ac.uk,Sudbery Lab for Computational Genomics,Molecular Biology and Biotechnology,University of Sheffield,"Firth Court, Western Bank",Sheffield,S11 8HG,United Kingdom,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM1234528,NONE,GSE51005,0,SRX353836,Prostate Tumour,Post-treatment,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN02358819,https://www.ncbi.nlm.nih.gov/sra?term=SRX353836
tax-post-r3,cDNA,Homo sapiens,PAIRED,SRA,SRR993721,SRX353837,tax-Post-R3,GSM1234529,Public on Sep 18 2014,Sep 19 2013,May 15 2019,SRA,1,Homo sapiens,9606,total RNA,Post treatment sample from patient 3 (removed from final analysis),GPL11154,"Ian,,Sudbery",i.sudbery@sheffield.ac.uk,Sudbery Lab for Computational Genomics,Molecular Biology and Biotechnology,University of Sheffield,"Firth Court, Western Bank",Sheffield,S11 8HG,United Kingdom,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM1234529,NONE,GSE51005,0,SRX353837,Prostate Tumour,Post-treatment,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN02358821,https://www.ncbi.nlm.nih.gov/sra?term=SRX353837
tax-post-r4,cDNA,Homo sapiens,PAIRED,SRA,SRR993722,SRX353838,tax-Post-R4,GSM1234530,Public on Sep 18 2014,Sep 19 2013,May 15 2019,SRA,1,Homo sapiens,9606,total RNA,Post treatment sample from patient 4,GPL11154,"Ian,,Sudbery",i.sudbery@sheffield.ac.uk,Sudbery Lab for Computational Genomics,Molecular Biology and Biotechnology,University of Sheffield,"Firth Court, Western Bank",Sheffield,S11 8HG,United Kingdom,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM1234530,NONE,GSE51005,0,SRX353838,Prostate Tumour,Post-treatment,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN02358824,https://www.ncbi.nlm.nih.gov/sra?term=SRX353838
