sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_characteristics_ch1,sample_molecule_ch1,sample_label_ch1,sample_hyb_protocol,sample_scan_protocol,sample_description,sample_platform_id,sample_contact_name,sample_contact_laboratory,sample_contact_department,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,big_key
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp102,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP102,GSM1318061,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318061
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp103,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP103,GSM1318062,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318062
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp104,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP104,GSM1318063,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318063
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp105,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP105,GSM1318064,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue tumor,Homo sapiens,9606,tissue: human prostate tissue tumor,total RNA,FAM dye,n/a,n/a,tumor,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318064
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp110,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP110,GSM1318065,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue tumor,Homo sapiens,9606,tissue: human prostate tissue tumor,total RNA,FAM dye,n/a,n/a,tumor,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318065
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp111,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP111,GSM1318066,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue tumor,Homo sapiens,9606,tissue: human prostate tissue tumor,total RNA,FAM dye,n/a,n/a,tumor,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318066
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp113,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP113,GSM1318067,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue tumor,Homo sapiens,9606,tissue: human prostate tissue tumor,total RNA,FAM dye,n/a,n/a,tumor,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318067
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp115,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP115,GSM1318068,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue tumor,Homo sapiens,9606,tissue: human prostate tissue tumor,total RNA,FAM dye,n/a,n/a,tumor,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318068
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp116,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP116,GSM1318069,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue tumor,Homo sapiens,9606,tissue: human prostate tissue tumor,total RNA,FAM dye,n/a,n/a,tumor,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318069
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp117,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP117,GSM1318070,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue tumor,Homo sapiens,9606,tissue: human prostate tissue tumor,total RNA,FAM dye,n/a,n/a,tumor,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318070
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp118,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP118,GSM1318071,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue tumor,Homo sapiens,9606,tissue: human prostate tissue tumor,total RNA,FAM dye,n/a,n/a,tumor,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318071
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp119,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP119,GSM1318072,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318072
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp120,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP120,GSM1318073,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318073
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp122,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP122,GSM1318074,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318074
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp123,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP123,GSM1318075,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318075
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp124,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP124,GSM1318076,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318076
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp126,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP126,GSM1318077,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318077
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp127,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP127,GSM1318078,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318078
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp137,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP137,GSM1318079,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318079
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp138,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP138,GSM1318080,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318080
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp139,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP139,GSM1318081,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318081
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp140,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP140,GSM1318082,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318082
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp141,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP141,GSM1318083,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318083
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp142,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP142,GSM1318084,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318084
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp143,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP143,GSM1318085,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318085
