sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_label_ch1,sample_scan_protocol,sample_description,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key,tissue_type,tmprss2
prostate_cancer_ms_36d6,,,,,,,Prostate Cancer_MS 36D6,GSM1348933,Public on Mar 18 2014,Mar 17 2014,Mar 18 2014,RNA,1,malignant tissue_TMPRSS2:ERG fusion negative,Homo sapiens,9606,total RNA,biotin,GeneArray Scanner G2500A (Hewlett-Packard),MS 36D6,BioConductor R packages,GPL570,"M. Simo,,Arredouani",simarred@gmail.com,Surgery,Beth Israel Deaconess Medical Center,330 Brookline Ave.,Boston,MA,02215,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1348nnn/GSM1348933/suppl/GSM1348933_011508_HGU133_PLUS_2.0_MS_36D6.CEL.gz,GSE55945,54675,,MAS5.0 signal intensity,GSM1348933,Malignant prostate tissue,ERG fusion status: negative
prostate_cancer_ms_36c1,,,,,,,Prostate Cancer_MS 36C1,GSM1348934,Public on Mar 18 2014,Mar 17 2014,Mar 18 2014,RNA,1,malignant tissue_TMPRSS2:ERG fusion negative,Homo sapiens,9606,total RNA,biotin,GeneArray Scanner G2500A (Hewlett-Packard),MS 36C1,BioConductor R packages,GPL570,"M. Simo,,Arredouani",simarred@gmail.com,Surgery,Beth Israel Deaconess Medical Center,330 Brookline Ave.,Boston,MA,02215,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1348nnn/GSM1348934/suppl/GSM1348934_110607_HGU133_PLUS_2.0_MS_36C1.CEL.gz,GSE55945,54675,,MAS5.0 signal intensity,GSM1348934,Malignant prostate tissue,ERG fusion status: negative
prostate_cancer_ms_36d7,,,,,,,Prostate Cancer_MS 36D7,GSM1348935,Public on Mar 18 2014,Mar 17 2014,Mar 18 2014,RNA,1,malignant tissue_TMPRSS2:ERG fusion negative,Homo sapiens,9606,total RNA,biotin,GeneArray Scanner G2500A (Hewlett-Packard),MS 36D7,BioConductor R packages,GPL570,"M. Simo,,Arredouani",simarred@gmail.com,Surgery,Beth Israel Deaconess Medical Center,330 Brookline Ave.,Boston,MA,02215,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1348nnn/GSM1348935/suppl/GSM1348935_011508_HGU133_PLUS_2.0_MS_36D7.CEL.gz,GSE55945,54675,,MAS5.0 signal intensity,GSM1348935,Malignant prostate tissue,ERG fusion status: negative
prostate_cancer_ms_36d8,,,,,,,Prostate Cancer_MS 36D8,GSM1348936,Public on Mar 18 2014,Mar 17 2014,Mar 18 2014,RNA,1,malignant tissue_TMPRSS2:ERG fusion negative,Homo sapiens,9606,total RNA,biotin,GeneArray Scanner G2500A (Hewlett-Packard),MS 36D8,BioConductor R packages,GPL570,"M. Simo,,Arredouani",simarred@gmail.com,Surgery,Beth Israel Deaconess Medical Center,330 Brookline Ave.,Boston,MA,02215,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1348nnn/GSM1348936/suppl/GSM1348936_011508_HGU133_PLUS_2.0_MS_36D8.CEL.gz,GSE55945,54675,,MAS5.0 signal intensity,GSM1348936,Malignant prostate tissue,ERG fusion status: negative
prostate_cancer_ms_36a6,,,,,,,Prostate Cancer_MS 36A6,GSM1348937,Public on Mar 18 2014,Mar 17 2014,Mar 18 2014,RNA,1,malignant tissue_TMPRSS2:ERG fusion negative,Homo sapiens,9606,total RNA,biotin,GeneArray Scanner G2500A (Hewlett-Packard),MS 36A6,BioConductor R packages,GPL570,"M. Simo,,Arredouani",simarred@gmail.com,Surgery,Beth Israel Deaconess Medical Center,330 Brookline Ave.,Boston,MA,02215,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1348nnn/GSM1348937/suppl/GSM1348937_110807_HGU133_PLUS_2.0_MS_36A6.CEL.gz,GSE55945,54675,,MAS5.0 signal intensity,GSM1348937,Malignant prostate tissue,ERG fusion status: negative
prostate_cancer_ms_36c4,,,,,,,Prostate Cancer_MS 36C4,GSM1348938,Public on Mar 18 2014,Mar 17 2014,Mar 18 2014,RNA,1,malignant tissue_TMPRSS2:ERG fusion negative,Homo sapiens,9606,total RNA,biotin,GeneArray Scanner G2500A (Hewlett-Packard),MS 36C4,BioConductor R packages,GPL570,"M. Simo,,Arredouani",simarred@gmail.com,Surgery,Beth Israel Deaconess Medical Center,330 Brookline Ave.,Boston,MA,02215,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1348nnn/GSM1348938/suppl/GSM1348938_110607_HGU133_PLUS_2.0_MS_36C4.CEL.gz,GSE55945,54675,,MAS5.0 signal intensity,GSM1348938,Malignant prostate tissue,ERG fusion status: negative
prostate_cancer_nugen_test07,,,,,,,Prostate Cancer_NUGEN TEST07,GSM1348939,Public on Mar 18 2014,Mar 17 2014,Mar 18 2014,RNA,1,malignant tissue_TMPRSS2:ERG fusion negative,Homo sapiens,9606,total RNA,biotin,GeneArray Scanner G2500A (Hewlett-Packard),NUGEN TEST07,BioConductor R packages,GPL570,"M. Simo,,Arredouani",simarred@gmail.com,Surgery,Beth Israel Deaconess Medical Center,330 Brookline Ave.,Boston,MA,02215,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1348nnn/GSM1348939/suppl/GSM1348939_092707_HGU133_PLUS_2.0_NUGEN_TEST07.CEL.gz,GSE55945,54675,,MAS5.0 signal intensity,GSM1348939,Malignant prostate tissue,ERG fusion status: negative
prostate_cancer_ms_36c8,,,,,,,Prostate Cancer_MS 36C8,GSM1348940,Public on Mar 18 2014,Mar 17 2014,Mar 18 2014,RNA,1,malignant tissue_TMPRSS2:ERG fusion positive,Homo sapiens,9606,total RNA,biotin,GeneArray Scanner G2500A (Hewlett-Packard),MS 36C8,BioConductor R packages,GPL570,"M. Simo,,Arredouani",simarred@gmail.com,Surgery,Beth Israel Deaconess Medical Center,330 Brookline Ave.,Boston,MA,02215,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1348nnn/GSM1348940/suppl/GSM1348940_110607_HGU133_PLUS_2.0_MS_36C8.CEL.gz,GSE55945,54675,,MAS5.0 signal intensity,GSM1348940,Malignant prostate tissue,ERG fusion status: positive
prostate_cancer_ms_36a1,,,,,,,Prostate Cancer_MS 36A1,GSM1348941,Public on Mar 18 2014,Mar 17 2014,Mar 18 2014,RNA,1,malignant tissue_TMPRSS2:ERG fusion positive,Homo sapiens,9606,total RNA,biotin,GeneArray Scanner G2500A (Hewlett-Packard),MS 36A1,BioConductor R packages,GPL570,"M. Simo,,Arredouani",simarred@gmail.com,Surgery,Beth Israel Deaconess Medical Center,330 Brookline Ave.,Boston,MA,02215,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1348nnn/GSM1348941/suppl/GSM1348941_110807_HGU133_PLUS_2.0_MS_36A1.CEL.gz,GSE55945,54675,,MAS5.0 signal intensity,GSM1348941,Malignant prostate tissue,ERG fusion status: positive
prostate_cancer_ms_36c2,,,,,,,Prostate Cancer_MS 36C2,GSM1348942,Public on Mar 18 2014,Mar 17 2014,Mar 18 2014,RNA,1,malignant tissue_TMPRSS2:ERG fusion positive,Homo sapiens,9606,total RNA,biotin,GeneArray Scanner G2500A (Hewlett-Packard),MS 36C2,BioConductor R packages,GPL570,"M. Simo,,Arredouani",simarred@gmail.com,Surgery,Beth Israel Deaconess Medical Center,330 Brookline Ave.,Boston,MA,02215,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1348nnn/GSM1348942/suppl/GSM1348942_110607_HGU133_PLUS_2.0_MS_36C2.CEL.gz,GSE55945,54675,,MAS5.0 signal intensity,GSM1348942,Malignant prostate tissue,ERG fusion status: positive
