sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_label_ch1,sample_label_protocol_ch1,sample_hyb_protocol,sample_scan_protocol,sample_description,sample_platform_id,sample_contact_name,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key,tissue,host,host_gonadal_status
intact1_tumor_1,,,,,,,Intact1_tumor_1,GSM1369987,Public on Apr 21 2014,Apr 15 2014,Apr 21 2014,RNA,1,xenograft tumor,Homo sapiens,9606,total RNA,biotin,Standard Illumina labelling protocol,Standard Illumina hybridization protocol,Standard Illumina scanning protocol,Intact 1 tumor 1,GPL10558,"Matias,,Knuuttila",Department of Physiology,University of Turku,Kiinamyllynkatu 10,Turku,20520,Finland,NONE,GSE56829,47323,,quantile normalized,GSM1369987,xenograft tumor,Athymic Nude Foxn 1nu,intact
intact1_tumor_2,,,,,,,Intact1_tumor_2,GSM1369988,Public on Apr 21 2014,Apr 15 2014,Apr 21 2014,RNA,1,xenograft tumor,Homo sapiens,9606,total RNA,biotin,Standard Illumina labelling protocol,Standard Illumina hybridization protocol,Standard Illumina scanning protocol,Intact 1 tumor 2,GPL10558,"Matias,,Knuuttila",Department of Physiology,University of Turku,Kiinamyllynkatu 10,Turku,20520,Finland,NONE,GSE56829,47323,,quantile normalized,GSM1369988,xenograft tumor,Athymic Nude Foxn 1nu,intact
intact1_tumor_3,,,,,,,Intact1_tumor_3,GSM1369989,Public on Apr 21 2014,Apr 15 2014,Apr 21 2014,RNA,1,xenograft tumor,Homo sapiens,9606,total RNA,biotin,Standard Illumina labelling protocol,Standard Illumina hybridization protocol,Standard Illumina scanning protocol,Intact 1 tumor 3,GPL10558,"Matias,,Knuuttila",Department of Physiology,University of Turku,Kiinamyllynkatu 10,Turku,20520,Finland,NONE,GSE56829,47323,,quantile normalized,GSM1369989,xenograft tumor,Athymic Nude Foxn 1nu,intact
intact1_tumor_4,,,,,,,Intact1_tumor_4,GSM1369990,Public on Apr 21 2014,Apr 15 2014,Apr 21 2014,RNA,1,xenograft tumor,Homo sapiens,9606,total RNA,biotin,Standard Illumina labelling protocol,Standard Illumina hybridization protocol,Standard Illumina scanning protocol,Intact 1 tumor 4,GPL10558,"Matias,,Knuuttila",Department of Physiology,University of Turku,Kiinamyllynkatu 10,Turku,20520,Finland,NONE,GSE56829,47323,,quantile normalized,GSM1369990,xenograft tumor,Athymic Nude Foxn 1nu,intact
intact2_tumor_1,,,,,,,Intact2_tumor_1,GSM1369991,Public on Apr 21 2014,Apr 15 2014,Apr 21 2014,RNA,1,xenograft tumor,Homo sapiens,9606,total RNA,biotin,Standard Illumina labelling protocol,Standard Illumina hybridization protocol,Standard Illumina scanning protocol,Intact 2 tumor 1,GPL10558,"Matias,,Knuuttila",Department of Physiology,University of Turku,Kiinamyllynkatu 10,Turku,20520,Finland,NONE,GSE56829,47323,,quantile normalized,GSM1369991,xenograft tumor,Athymic Nude Foxn 1nu,intact
intact2_tumor_2,,,,,,,Intact2_tumor_2,GSM1369992,Public on Apr 21 2014,Apr 15 2014,Apr 21 2014,RNA,1,xenograft tumor,Homo sapiens,9606,total RNA,biotin,Standard Illumina labelling protocol,Standard Illumina hybridization protocol,Standard Illumina scanning protocol,Intact 2 tumor 2,GPL10558,"Matias,,Knuuttila",Department of Physiology,University of Turku,Kiinamyllynkatu 10,Turku,20520,Finland,NONE,GSE56829,47323,,quantile normalized,GSM1369992,xenograft tumor,Athymic Nude Foxn 1nu,intact
intact2_tumor_3,,,,,,,Intact2_tumor_3,GSM1369993,Public on Apr 21 2014,Apr 15 2014,Apr 21 2014,RNA,1,xenograft tumor,Homo sapiens,9606,total RNA,biotin,Standard Illumina labelling protocol,Standard Illumina hybridization protocol,Standard Illumina scanning protocol,Intact 2 tumor 3,GPL10558,"Matias,,Knuuttila",Department of Physiology,University of Turku,Kiinamyllynkatu 10,Turku,20520,Finland,NONE,GSE56829,47323,,quantile normalized,GSM1369993,xenograft tumor,Athymic Nude Foxn 1nu,intact
intact2_tumor_4,,,,,,,Intact2_tumor_4,GSM1369994,Public on Apr 21 2014,Apr 15 2014,Apr 21 2014,RNA,1,xenograft tumor,Homo sapiens,9606,total RNA,biotin,Standard Illumina labelling protocol,Standard Illumina hybridization protocol,Standard Illumina scanning protocol,Intact 2 tumor 4,GPL10558,"Matias,,Knuuttila",Department of Physiology,University of Turku,Kiinamyllynkatu 10,Turku,20520,Finland,NONE,GSE56829,47323,,quantile normalized,GSM1369994,xenograft tumor,Athymic Nude Foxn 1nu,intact
crpc1_tumor_1,,,,,,,CRPC1_tumor_1,GSM1369995,Public on Apr 21 2014,Apr 15 2014,Apr 21 2014,RNA,1,xenograft tumor,Homo sapiens,9606,total RNA,biotin,Standard Illumina labelling protocol,Standard Illumina hybridization protocol,Standard Illumina scanning protocol,CRPC 1 tumor 1,GPL10558,"Matias,,Knuuttila",Department of Physiology,University of Turku,Kiinamyllynkatu 10,Turku,20520,Finland,NONE,GSE56829,47323,,quantile normalized,GSM1369995,xenograft tumor,Athymic Nude Foxn 1nu,castrated
crpc1_tumor_2,,,,,,,CRPC1_tumor_2,GSM1369996,Public on Apr 21 2014,Apr 15 2014,Apr 21 2014,RNA,1,xenograft tumor,Homo sapiens,9606,total RNA,biotin,Standard Illumina labelling protocol,Standard Illumina hybridization protocol,Standard Illumina scanning protocol,CRPC 1 tumor 2,GPL10558,"Matias,,Knuuttila",Department of Physiology,University of Turku,Kiinamyllynkatu 10,Turku,20520,Finland,NONE,GSE56829,47323,,quantile normalized,GSM1369996,xenograft tumor,Athymic Nude Foxn 1nu,castrated
crpc1_tumor_3,,,,,,,CRPC1_tumor_3,GSM1369997,Public on Apr 21 2014,Apr 15 2014,Apr 21 2014,RNA,1,xenograft tumor,Homo sapiens,9606,total RNA,biotin,Standard Illumina labelling protocol,Standard Illumina hybridization protocol,Standard Illumina scanning protocol,CRPC 1 tumor 3,GPL10558,"Matias,,Knuuttila",Department of Physiology,University of Turku,Kiinamyllynkatu 10,Turku,20520,Finland,NONE,GSE56829,47323,,quantile normalized,GSM1369997,xenograft tumor,Athymic Nude Foxn 1nu,castrated
crpc1_tumor_4,,,,,,,CRPC1_tumor_4,GSM1369998,Public on Apr 21 2014,Apr 15 2014,Apr 21 2014,RNA,1,xenograft tumor,Homo sapiens,9606,total RNA,biotin,Standard Illumina labelling protocol,Standard Illumina hybridization protocol,Standard Illumina scanning protocol,CRPC 1 tumor 4,GPL10558,"Matias,,Knuuttila",Department of Physiology,University of Turku,Kiinamyllynkatu 10,Turku,20520,Finland,NONE,GSE56829,47323,,quantile normalized,GSM1369998,xenograft tumor,Athymic Nude Foxn 1nu,castrated
crpc2_tumor_1,,,,,,,CRPC2_tumor_1,GSM1369999,Public on Apr 21 2014,Apr 15 2014,Apr 21 2014,RNA,1,xenograft tumor,Homo sapiens,9606,total RNA,biotin,Standard Illumina labelling protocol,Standard Illumina hybridization protocol,Standard Illumina scanning protocol,CRPC 2 tumor 1,GPL10558,"Matias,,Knuuttila",Department of Physiology,University of Turku,Kiinamyllynkatu 10,Turku,20520,Finland,NONE,GSE56829,47323,,quantile normalized,GSM1369999,xenograft tumor,Athymic Nude Foxn 1nu,castrated
