sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_treatment_protocol_ch1,sample_growth_protocol_ch1,sample_molecule_ch1,sample_label_ch1,sample_source_name_ch2,sample_organism_ch2,sample_taxid_ch2,sample_treatment_protocol_ch2,sample_growth_protocol_ch2,sample_molecule_ch2,sample_label_ch2,sample_description,sample_platform_id,sample_contact_name,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key,sample_id,tissue
pca_a5_n,,,,,,,PCa_A5_N,GSM1471696,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (normal labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471696/suppl/GSM1471696_US22502614_252800412689_S01_GE2_107_Sep09_2_NO_SPIKEIN_1_1.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471696,A5,Prostate adenocarcinoma
pca_a5_ds,,,,,,,PCa_A5_DS,GSM1471697,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (dye-swap labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471697/suppl/GSM1471697_US22502614_252800412689_S01_GE2_107_Sep09_2_NO_SPIKEIN_1_2.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471697,A5,Prostate adenocarcinoma
pca_aa90_n,,,,,,,PCa_AA90_N,GSM1471698,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (normal labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471698/suppl/GSM1471698_US22502614_252800412689_S01_GE2_107_Sep09_2_NO_SPIKEIN_1_3.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471698,AA90,Prostate adenocarcinoma
pca_aa90_ds,,,,,,,PCa_AA90_DS,GSM1471699,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (dye-swap labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471699/suppl/GSM1471699_US22502614_252800412689_S01_GE2_107_Sep09_2_NO_SPIKEIN_1_4.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471699,AA90,Prostate adenocarcinoma
pca_b11_n,,,,,,,PCa_B11_N,GSM1471700,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (normal labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471700/suppl/GSM1471700_US22502614_252800412689_S01_GE2_107_Sep09_2_NO_SPIKEIN_2_1.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471700,B11,Prostate adenocarcinoma
pca_b11_ds,,,,,,,PCa_B11_DS,GSM1471701,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (dye-swap labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471701/suppl/GSM1471701_US22502614_252800412689_S01_GE2_107_Sep09_2_NO_SPIKEIN_2_2.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471701,B11,Prostate adenocarcinoma
pca_aa97_n,,,,,,,PCa_AA97_N,GSM1471702,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (normal labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471702/suppl/GSM1471702_US22502614_252800412689_S01_GE2_107_Sep09_2_NO_SPIKEIN_2_3.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471702,AA97,Prostate adenocarcinoma
pca_aa97_ds,,,,,,,PCa_AA97_DS,GSM1471703,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (dye-swap labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471703/suppl/GSM1471703_US22502614_252800412689_S01_GE2_107_Sep09_2_NO_SPIKEIN_2_4.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471703,AA97,Prostate adenocarcinoma
pca_y50_n,,,,,,,PCa_Y50_N,GSM1471704,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (normal labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471704/suppl/GSM1471704_US22502614_252800412690_S01_GE2_107_Sep09_2_NO_SPIKEIN_1_1.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471704,Y50,Prostate adenocarcinoma
pca_y50_ds,,,,,,,PCa_Y50_DS,GSM1471705,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (dye-swap labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471705/suppl/GSM1471705_US22502614_252800412690_S01_GE2_107_Sep09_2_NO_SPIKEIN_1_2.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471705,Y50,Prostate adenocarcinoma
