sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_label_ch1,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_phone,sample_contact_fax,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key,tissue,tissue_source
aa_cancer_1_agilent_,,,,,,,AA cancer 1 [Agilent],GSM1568623,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568623/suppl/GSM1568623_US451R3000_251911813010_S01_miRNA-v1_95_May07_NormLab_1_1.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568623,prostate cancer samples from AA,needle biosy core
aa_cancer_2_agilent_,,,,,,,AA cancer 2 [Agilent],GSM1568624,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568624/suppl/GSM1568624_US451R3000_251911813010_S01_miRNA-v1_95_May07_NormLab_1_2.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568624,prostate cancer samples from AA,needle biosy core
aa_cancer_3_agilent_,,,,,,,AA cancer 3 [Agilent],GSM1568625,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568625/suppl/GSM1568625_US451R3000_251911813010_S01_miRNA-v1_95_May07_NormLab_1_3.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568625,prostate cancer samples from AA,needle biosy core
aa_cancer_4_agilent_,,,,,,,AA cancer 4 [Agilent],GSM1568626,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568626/suppl/GSM1568626_US451R3000_251911813010_S01_miRNA-v1_95_May07_NormLab_1_4.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568626,prostate cancer samples from AA,needle biosy core
ea_cancer_1_agilent_,,,,,,,EA cancer 1 [Agilent],GSM1568627,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568627/suppl/GSM1568627_US451R3000_251911813010_S01_miRNA-v1_95_May07_NormLab_2_1.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568627,prostate cancer samples from EA,needle biosy core
ea_cancer_2_agilent_,,,,,,,EA cancer 2 [Agilent],GSM1568628,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568628/suppl/GSM1568628_US451R3000_251911813010_S01_miRNA-v1_95_May07_NormLab_2_2.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568628,prostate cancer samples from EA,needle biosy core
ea_cancer_3_agilent_,,,,,,,EA cancer 3 [Agilent],GSM1568629,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568629/suppl/GSM1568629_US451R3000_251911813010_S01_miRNA-v1_95_May07_NormLab_2_3.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568629,prostate cancer samples from EA,needle biosy core
ea_cancer_4_agilent_,,,,,,,EA cancer 4 [Agilent],GSM1568630,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568630/suppl/GSM1568630_US451R3000_251911813010_S01_miRNA-v1_95_May07_NormLab_2_4.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568630,prostate cancer samples from EA,needle biosy core
aa_cancer_5_agilent_,,,,,,,AA cancer 5 [Agilent],GSM1568631,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568631/suppl/GSM1568631_US451R3000_251911813971_S02_miRNA-v1_95_May07_NormLab_1_1.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568631,prostate cancer samples from AA,needle biosy core
aa_cancer_6_agilent_,,,,,,,AA cancer 6 [Agilent],GSM1568632,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568632/suppl/GSM1568632_US451R3000_251911813971_S02_miRNA-v1_95_May07_NormLab_1_2.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568632,prostate cancer samples from AA,needle biosy core
