sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_label_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,detection_pval,big_key,cell_type,treatment,replicate
hpf_1,,,,,,,HPF__1,GSM1664886,Public on Sep 01 2015,Apr 22 2015,Sep 01 2015,RNA,1,patient-derived fibroblasts,Homo sapiens,9606,total RNA,biotin,"human prostate fibroblasts, 6116768102_A",GPL10558,"Maurizio,,Callari",maurizio.callari@cruk.cam.ac.uk,Fondazione IRCCS Istituto Nazionale dei Tumori,"Via Amadeo, 42",Milan,20133,Italy,NONE,"GSE68164, GSE68166",47323,,log2 transformed RSN normalized,,GSM1664886,prostate fibroblasts,none,1
hpf_tgfbeta_1,,,,,,,HPF_TGFbeta_1,GSM1664887,Public on Sep 01 2015,Apr 22 2015,Sep 01 2015,RNA,1,patient-derived fibroblasts,Homo sapiens,9606,total RNA,biotin,"human prostate fibroblasts TGFb, 6116768102_B",GPL10558,"Maurizio,,Callari",maurizio.callari@cruk.cam.ac.uk,Fondazione IRCCS Istituto Nazionale dei Tumori,"Via Amadeo, 42",Milan,20133,Italy,NONE,"GSE68164, GSE68166",47323,,log2 transformed RSN normalized,,GSM1664887,prostate fibroblasts TGFb,TGFbeta,1
hpf_il6_1,,,,,,,HPF_IL6_1,GSM1664888,Public on Sep 01 2015,Apr 22 2015,Sep 01 2015,RNA,1,patient-derived fibroblasts,Homo sapiens,9606,total RNA,biotin,"human prostate fibroblasts IL6, 6116768102_C",GPL10558,"Maurizio,,Callari",maurizio.callari@cruk.cam.ac.uk,Fondazione IRCCS Istituto Nazionale dei Tumori,"Via Amadeo, 42",Milan,20133,Italy,NONE,"GSE68164, GSE68166",47323,,log2 transformed RSN normalized,,GSM1664888,prostate fibroblasts IL6,IL6,1
caf_1,,,,,,,CAF__1,GSM1664889,Public on Sep 01 2015,Apr 22 2015,Sep 01 2015,RNA,1,patient-derived fibroblasts,Homo sapiens,9606,total RNA,biotin,"cancer associated fibroblasts, 6116768102_D",GPL10558,"Maurizio,,Callari",maurizio.callari@cruk.cam.ac.uk,Fondazione IRCCS Istituto Nazionale dei Tumori,"Via Amadeo, 42",Milan,20133,Italy,NONE,"GSE68164, GSE68166",47323,,log2 transformed RSN normalized,,GSM1664889,cancer associated fibroblasts,none,1
hpf_2,,,,,,,HPF__2,GSM1664890,Public on Sep 01 2015,Apr 22 2015,Sep 01 2015,RNA,1,patient-derived fibroblasts,Homo sapiens,9606,total RNA,biotin,"human prostate fibroblasts, 6116768102_E",GPL10558,"Maurizio,,Callari",maurizio.callari@cruk.cam.ac.uk,Fondazione IRCCS Istituto Nazionale dei Tumori,"Via Amadeo, 42",Milan,20133,Italy,NONE,"GSE68164, GSE68166",47323,,log2 transformed RSN normalized,,GSM1664890,prostate fibroblasts,none,2
hpf_tgfbeta_2,,,,,,,HPF_TGFbeta_2,GSM1664891,Public on Sep 01 2015,Apr 22 2015,Sep 01 2015,RNA,1,patient-derived fibroblasts,Homo sapiens,9606,total RNA,biotin,"human prostate fibroblasts TGFb, 6116768102_F",GPL10558,"Maurizio,,Callari",maurizio.callari@cruk.cam.ac.uk,Fondazione IRCCS Istituto Nazionale dei Tumori,"Via Amadeo, 42",Milan,20133,Italy,NONE,"GSE68164, GSE68166",47323,,log2 transformed RSN normalized,,GSM1664891,prostate fibroblasts TGFb,TGFbeta,2
hpf_il6_2,,,,,,,HPF_IL6_2,GSM1664892,Public on Sep 01 2015,Apr 22 2015,Sep 01 2015,RNA,1,patient-derived fibroblasts,Homo sapiens,9606,total RNA,biotin,"human prostate fibroblasts IL6, 6116768102_G",GPL10558,"Maurizio,,Callari",maurizio.callari@cruk.cam.ac.uk,Fondazione IRCCS Istituto Nazionale dei Tumori,"Via Amadeo, 42",Milan,20133,Italy,NONE,"GSE68164, GSE68166",47323,,log2 transformed RSN normalized,,GSM1664892,prostate fibroblasts IL6,IL6,2
caf_2,,,,,,,CAF__2,GSM1664893,Public on Sep 01 2015,Apr 22 2015,Sep 01 2015,RNA,1,patient-derived fibroblasts,Homo sapiens,9606,total RNA,biotin,"cancer associated fibroblasts, 6116768102_H",GPL10558,"Maurizio,,Callari",maurizio.callari@cruk.cam.ac.uk,Fondazione IRCCS Istituto Nazionale dei Tumori,"Via Amadeo, 42",Milan,20133,Italy,NONE,"GSE68164, GSE68166",47323,,log2 transformed RSN normalized,,GSM1664893,cancer associated fibroblasts,none,2
hpf_3,,,,,,,HPF__3,GSM1664894,Public on Sep 01 2015,Apr 22 2015,Sep 01 2015,RNA,1,patient-derived fibroblasts,Homo sapiens,9606,total RNA,biotin,"human prostate fibroblasts, 6116768102_I",GPL10558,"Maurizio,,Callari",maurizio.callari@cruk.cam.ac.uk,Fondazione IRCCS Istituto Nazionale dei Tumori,"Via Amadeo, 42",Milan,20133,Italy,NONE,"GSE68164, GSE68166",47323,,log2 transformed RSN normalized,,GSM1664894,prostate fibroblasts,none,3
hpf_tgfbeta_3,,,,,,,HPF_TGFbeta_3,GSM1664895,Public on Sep 01 2015,Apr 22 2015,Sep 01 2015,RNA,1,patient-derived fibroblasts,Homo sapiens,9606,total RNA,biotin,"human prostate fibroblasts TGFb, 6116768102_J",GPL10558,"Maurizio,,Callari",maurizio.callari@cruk.cam.ac.uk,Fondazione IRCCS Istituto Nazionale dei Tumori,"Via Amadeo, 42",Milan,20133,Italy,NONE,"GSE68164, GSE68166",47323,,log2 transformed RSN normalized,,GSM1664895,prostate fibroblasts TGFb,TGFbeta,3
