sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_label_ch1,sample_hyb_protocol,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,big_key,cell_type,treatment,replicate
hpf_1,,,,,,,HPF__1,GSM1664898,Public on Sep 01 2015,Apr 22 2015,Sep 01 2015,RNA,1,patient-derived fibroblasts,Homo sapiens,9606,total RNA,biotin,hybridization for 20 h at 55°C,"human prostate fibroblasts, US11103886_253575810002_S01_miRNA_107_Sep09_2_1",GPL20095,"Maurizio,,Callari",maurizio.callari@cruk.cam.ac.uk,Fondazione IRCCS Istituto Nazionale dei Tumori,"Via Amadeo, 42",Milan,20133,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1664nnn/GSM1664898/suppl/GSM1664898_US11103886_253575810002_S01_miRNA_107_Sep09_2_1.txt.gz,"GSE68165, GSE68166",0,GSM1664898,prostate fibroblasts,none,1
hpf_tgfbeta_1,,,,,,,HPF_TGFbeta_1,GSM1664899,Public on Sep 01 2015,Apr 22 2015,Sep 01 2015,RNA,1,patient-derived fibroblasts,Homo sapiens,9606,total RNA,biotin,hybridization for 20 h at 55°C,"human prostate fibroblasts TGFb, US11103886_253575810002_S01_miRNA_107_Sep09_2_2",GPL20095,"Maurizio,,Callari",maurizio.callari@cruk.cam.ac.uk,Fondazione IRCCS Istituto Nazionale dei Tumori,"Via Amadeo, 42",Milan,20133,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1664nnn/GSM1664899/suppl/GSM1664899_US11103886_253575810002_S01_miRNA_107_Sep09_2_2.txt.gz,"GSE68165, GSE68166",0,GSM1664899,prostate fibroblasts,TGFbeta,1
hpf_il6_1,,,,,,,HPF_IL6_1,GSM1664900,Public on Sep 01 2015,Apr 22 2015,Sep 01 2015,RNA,1,patient-derived fibroblasts,Homo sapiens,9606,total RNA,biotin,hybridization for 20 h at 55°C,"human prostate fibroblasts IL6, US11103886_253575810002_S01_miRNA_107_Sep09_2_3",GPL20095,"Maurizio,,Callari",maurizio.callari@cruk.cam.ac.uk,Fondazione IRCCS Istituto Nazionale dei Tumori,"Via Amadeo, 42",Milan,20133,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1664nnn/GSM1664900/suppl/GSM1664900_US11103886_253575810002_S01_miRNA_107_Sep09_2_3.txt.gz,"GSE68165, GSE68166",0,GSM1664900,prostate fibroblasts,IL6,1
caf_1,,,,,,,CAF__1,GSM1664901,Public on Sep 01 2015,Apr 22 2015,Sep 01 2015,RNA,1,patient-derived fibroblasts,Homo sapiens,9606,total RNA,biotin,hybridization for 20 h at 55°C,"cancer associated fibroblasts, US11103886_253575810002_S01_miRNA_107_Sep09_2_4",GPL20095,"Maurizio,,Callari",maurizio.callari@cruk.cam.ac.uk,Fondazione IRCCS Istituto Nazionale dei Tumori,"Via Amadeo, 42",Milan,20133,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1664nnn/GSM1664901/suppl/GSM1664901_US11103886_253575810002_S01_miRNA_107_Sep09_2_4.txt.gz,"GSE68165, GSE68166",0,GSM1664901,cancer associated fibroblasts,none,1
hpf_2,,,,,,,HPF__2,GSM1664902,Public on Sep 01 2015,Apr 22 2015,Sep 01 2015,RNA,1,patient-derived fibroblasts,Homo sapiens,9606,total RNA,biotin,hybridization for 20 h at 55°C,"human prostate fibroblasts, US11103886_253575810003_S01_miRNA_107_Sep09_1_1",GPL20095,"Maurizio,,Callari",maurizio.callari@cruk.cam.ac.uk,Fondazione IRCCS Istituto Nazionale dei Tumori,"Via Amadeo, 42",Milan,20133,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1664nnn/GSM1664902/suppl/GSM1664902_US11103886_253575810003_S01_miRNA_107_Sep09_1_1.txt.gz,"GSE68165, GSE68166",0,GSM1664902,prostate fibroblasts,none,2
hpf_tgfbeta_2,,,,,,,HPF_TGFbeta_2,GSM1664903,Public on Sep 01 2015,Apr 22 2015,Sep 01 2015,RNA,1,patient-derived fibroblasts,Homo sapiens,9606,total RNA,biotin,hybridization for 20 h at 55°C,"human prostate fibroblasts TGFb, US11103886_253575810003_S01_miRNA_107_Sep09_1_2",GPL20095,"Maurizio,,Callari",maurizio.callari@cruk.cam.ac.uk,Fondazione IRCCS Istituto Nazionale dei Tumori,"Via Amadeo, 42",Milan,20133,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1664nnn/GSM1664903/suppl/GSM1664903_US11103886_253575810003_S01_miRNA_107_Sep09_1_2.txt.gz,"GSE68165, GSE68166",0,GSM1664903,prostate fibroblasts,TGFbeta,2
hpf_il6_2,,,,,,,HPF_IL6_2,GSM1664904,Public on Sep 01 2015,Apr 22 2015,Sep 01 2015,RNA,1,patient-derived fibroblasts,Homo sapiens,9606,total RNA,biotin,hybridization for 20 h at 55°C,"human prostate fibroblasts IL6, US11103886_253575810003_S01_miRNA_107_Sep09_1_3",GPL20095,"Maurizio,,Callari",maurizio.callari@cruk.cam.ac.uk,Fondazione IRCCS Istituto Nazionale dei Tumori,"Via Amadeo, 42",Milan,20133,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1664nnn/GSM1664904/suppl/GSM1664904_US11103886_253575810003_S01_miRNA_107_Sep09_1_3.txt.gz,"GSE68165, GSE68166",0,GSM1664904,prostate fibroblasts,IL6,2
caf_2,,,,,,,CAF__2,GSM1664905,Public on Sep 01 2015,Apr 22 2015,Sep 01 2015,RNA,1,patient-derived fibroblasts,Homo sapiens,9606,total RNA,biotin,hybridization for 20 h at 55°C,"cancer associated fibroblasts, US11103886_253575810003_S01_miRNA_107_Sep09_1_4",GPL20095,"Maurizio,,Callari",maurizio.callari@cruk.cam.ac.uk,Fondazione IRCCS Istituto Nazionale dei Tumori,"Via Amadeo, 42",Milan,20133,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1664nnn/GSM1664905/suppl/GSM1664905_US11103886_253575810003_S01_miRNA_107_Sep09_1_4.txt.gz,"GSE68165, GSE68166",0,GSM1664905,cancer associated fibroblasts,none,2
hpf_3,,,,,,,HPF__3,GSM1664906,Public on Sep 01 2015,Apr 22 2015,Sep 01 2015,RNA,1,patient-derived fibroblasts,Homo sapiens,9606,total RNA,biotin,hybridization for 20 h at 55°C,"human prostate fibroblasts, US11103886_253575810003_S01_miRNA_107_Sep09_2_1",GPL20095,"Maurizio,,Callari",maurizio.callari@cruk.cam.ac.uk,Fondazione IRCCS Istituto Nazionale dei Tumori,"Via Amadeo, 42",Milan,20133,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1664nnn/GSM1664906/suppl/GSM1664906_US11103886_253575810003_S01_miRNA_107_Sep09_2_1.txt.gz,"GSE68165, GSE68166",0,GSM1664906,prostate fibroblasts,none,3
hpf_tgfbeta_3,,,,,,,HPF_TGFbeta_3,GSM1664907,Public on Sep 01 2015,Apr 22 2015,Sep 01 2015,RNA,1,patient-derived fibroblasts,Homo sapiens,9606,total RNA,biotin,hybridization for 20 h at 55°C,"human prostate fibroblasts TGFb, US11103886_253575810003_S01_miRNA_107_Sep09_2_2",GPL20095,"Maurizio,,Callari",maurizio.callari@cruk.cam.ac.uk,Fondazione IRCCS Istituto Nazionale dei Tumori,"Via Amadeo, 42",Milan,20133,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1664nnn/GSM1664907/suppl/GSM1664907_US11103886_253575810003_S01_miRNA_107_Sep09_2_2.txt.gz,"GSE68165, GSE68166",0,GSM1664907,prostate fibroblasts,TGFbeta,3
