sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_characteristics_ch1,sample_molecule_ch1,sample_label_ch1,sample_scan_protocol,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_phone,sample_contact_fax,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,big_key
ea_normal_9_affymetrix_,,,,,,,EA normal 9 [Affymetrix],GSM1845228,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845228/suppl/GSM1845228_9.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845228
ea_tumor_9_reanalysis_affymetrix_,,,,,,,EA tumor 9 [reanalysis Affymetrix],GSM1845229,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845229/suppl/GSM1845229_9+.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845229
ea_tumor_15_reanalysis_affymetrix_,,,,,,,EA tumor 15 [reanalysis Affymetrix],GSM1845230,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845230/suppl/GSM1845230_15+.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845230
ea_normal_15_affymetrix_,,,,,,,EA normal 15 [Affymetrix],GSM1845231,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845231/suppl/GSM1845231_15-.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845231
ea_normal_16_affymetrix_,,,,,,,EA normal 16 [Affymetrix],GSM1845232,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845232/suppl/GSM1845232_16.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845232
ea_tumor_16_reanalysis_affymetrix_,,,,,,,EA tumor 16 [reanalysis Affymetrix],GSM1845233,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845233/suppl/GSM1845233_16+.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845233
ea_tumor_18_reanalysis_affymetrix_,,,,,,,EA tumor 18 [reanalysis Affymetrix],GSM1845234,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845234/suppl/GSM1845234_18+.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845234
ea_normal_18_affymetrix_,,,,,,,EA normal 18 [Affymetrix],GSM1845235,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845235/suppl/GSM1845235_18-.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845235
ea_normal_28_affymetrix_,,,,,,,EA normal 28 [Affymetrix],GSM1845236,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845236/suppl/GSM1845236_B1.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845236
ea_tumor_28_reanalysis_affymetrix_,,,,,,,EA tumor 28 [reanalysis Affymetrix],GSM1845237,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845237/suppl/GSM1845237_B2.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845237
