sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_label_ch1,sample_hyb_protocol,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,detection_pval,big_key,tissue_type,patient,batch
tumor_tissue_patient_p2,,,,,,,tumor tissue patient p2,GSM1977963,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4493851045_A,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977963,tumor,p2,1
normal_tissue_patient_p2,,,,,,,normal tissue patient p2,GSM1977964,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4493851045_B,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977964,normal,p2,1
tumor_tissue_patient_p3,,,,,,,tumor tissue patient p3,GSM1977965,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4493851045_C,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977965,tumor,p3,1
normal_tissue_patient_p3,,,,,,,normal tissue patient p3,GSM1977966,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4493851045_D,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977966,normal,p3,1
tumor_tissue_patient_p5,,,,,,,tumor tissue patient p5,GSM1977967,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4493851045_E,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977967,tumor,p5,1
normal_tissue_patient_p5,,,,,,,normal tissue patient p5,GSM1977968,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4493851045_F,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977968,normal,p5,1
tumor_tissue_patient_p6,,,,,,,tumor tissue patient p6,GSM1977969,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4493851045_G,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977969,tumor,p6,1
normal_tissue_patient_p6,,,,,,,normal tissue patient p6,GSM1977970,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4493851045_H,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977970,normal,p6,1
tumor_tissue_patient_p7,,,,,,,tumor tissue patient p7,GSM1977971,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4493851045_I,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977971,tumor,p7,1
normal_tissue_patient_p7,,,,,,,normal tissue patient p7,GSM1977972,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4493851045_J,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977972,normal,p7,1
