sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_label_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key,tissue,treatment
du145_prostate_cancer_cells_usp9xy_shrna_rep1,,,,,,,"DU145 prostate cancer cells, Usp9XY shRNA, rep1",GSM2093900,Public on Dec 01 2016,Mar 18 2016,Dec 01 2016,RNA,1,"DU145 prostate cancer cells, Usp9XY shRNA, rep1",Homo sapiens,9606,total RNA,biotin,Gene expression data from DU145 prostate cancer cells transfected with Usp9XY shRNA,GPL19251,"Enrico,,Glaab",enrico.glaab@uni.lu,University of Luxembourg,"6, avenue du Swing",Belvaux,Capellen,L-4367,Luxembourg,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2093nnn/GSM2093900/suppl/GSM2093900_1024_P15_679_HuGene-2_0-st_.CEL.gz,GSE79376,352859,,log-scale GC-RMA signal,GSM2093900,DU145 prostate cancer cells,Usp9XY shRNA
du145_prostate_cancer_cells_transfection_control_rep1,,,,,,,"DU145 prostate cancer cells, transfection control, rep1",GSM2093901,Public on Dec 01 2016,Mar 18 2016,Dec 01 2016,RNA,1,"DU145 prostate cancer cells, transfection control, rep1",Homo sapiens,9606,total RNA,biotin,"Gene expression data from DU145 prostate cancer cells, transfection reagent without shRNA construct",GPL19251,"Enrico,,Glaab",enrico.glaab@uni.lu,University of Luxembourg,"6, avenue du Swing",Belvaux,Capellen,L-4367,Luxembourg,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2093nnn/GSM2093901/suppl/GSM2093901_1025_P14_lipo_only_HuGene-2_0-st_.CEL.gz,GSE79376,352859,,log-scale GC-RMA signal,GSM2093901,DU145 prostate cancer cells,transfection control
du145_prostate_cancer_cells_unperturbed_rep1,,,,,,,"DU145 prostate cancer cells, unperturbed, rep1",GSM2093902,Public on Dec 01 2016,Mar 18 2016,Dec 01 2016,RNA,1,"DU145 prostate cancer cells, unperturbed, rep1",Homo sapiens,9606,total RNA,biotin,"Gene expression data from DU145 prostate cancer cells, unperturbed",GPL19251,"Enrico,,Glaab",enrico.glaab@uni.lu,University of Luxembourg,"6, avenue du Swing",Belvaux,Capellen,L-4367,Luxembourg,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2093nnn/GSM2093902/suppl/GSM2093902_1026_P14_unpert_HuGene-2_0-st_.CEL.gz,GSE79376,352859,,log-scale GC-RMA signal,GSM2093902,DU145 prostate cancer cells,unperturbed
du145_prostate_cancer_cells_transfection_control_rep2,,,,,,,"DU145 prostate cancer cells, transfection control, rep2",GSM2093903,Public on Dec 01 2016,Mar 18 2016,Dec 01 2016,RNA,1,"DU145 prostate cancer cells, transfection control, rep2",Homo sapiens,9606,total RNA,biotin,"Gene expression data from DU145 prostate cancer cells, transfection reagent without shRNA construct",GPL19251,"Enrico,,Glaab",enrico.glaab@uni.lu,University of Luxembourg,"6, avenue du Swing",Belvaux,Capellen,L-4367,Luxembourg,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2093nnn/GSM2093903/suppl/GSM2093903_1027_P15_lipo_only_HuGene-2_0-st_.CEL.gz,GSE79376,352859,,log-scale GC-RMA signal,GSM2093903,DU145 prostate cancer cells,transfection control
du145_prostate_cancer_cells_usp9x_shrna_rep1,,,,,,,"DU145 prostate cancer cells, Usp9X shRNA, rep1",GSM2093904,Public on Dec 01 2016,Mar 18 2016,Dec 01 2016,RNA,1,"DU145 prostate cancer cells, Usp9X shRNA, rep1",Homo sapiens,9606,total RNA,biotin,Gene expression data from DU145 prostate cancer cells transfected with Usp9X shRNA,GPL19251,"Enrico,,Glaab",enrico.glaab@uni.lu,University of Luxembourg,"6, avenue du Swing",Belvaux,Capellen,L-4367,Luxembourg,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2093nnn/GSM2093904/suppl/GSM2093904_1028_P15_688_HuGene-2_0-st_.CEL.gz,GSE79376,352859,,log-scale GC-RMA signal,GSM2093904,DU145 prostate cancer cells,Usp9X shRNA
du145_prostate_cancer_cells_usp9xy_shrna_rep2,,,,,,,"DU145 prostate cancer cells, Usp9XY shRNA, rep2",GSM2093905,Public on Dec 01 2016,Mar 18 2016,Dec 01 2016,RNA,1,"DU145 prostate cancer cells, Usp9XY shRNA, rep2",Homo sapiens,9606,total RNA,biotin,Gene expression data from DU145 prostate cancer cells transfected with Usp9XY shRNA,GPL19251,"Enrico,,Glaab",enrico.glaab@uni.lu,University of Luxembourg,"6, avenue du Swing",Belvaux,Capellen,L-4367,Luxembourg,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2093nnn/GSM2093905/suppl/GSM2093905_1029_P14_679_HuGene-2_0-st_.CEL.gz,GSE79376,352859,,log-scale GC-RMA signal,GSM2093905,DU145 prostate cancer cells,Usp9XY shRNA
du145_prostate_cancer_cells_usp9xy_shrna_rep3,,,,,,,"DU145 prostate cancer cells, Usp9XY shRNA, rep3",GSM2093906,Public on Dec 01 2016,Mar 18 2016,Dec 01 2016,RNA,1,"DU145 prostate cancer cells, Usp9XY shRNA, rep3",Homo sapiens,9606,total RNA,biotin,Gene expression data from DU145 prostate cancer cells transfected with Usp9XY shRNA,GPL19251,"Enrico,,Glaab",enrico.glaab@uni.lu,University of Luxembourg,"6, avenue du Swing",Belvaux,Capellen,L-4367,Luxembourg,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2093nnn/GSM2093906/suppl/GSM2093906_1030_P6_679_HuGene-2_0-st_.CEL.gz,GSE79376,352859,,log-scale GC-RMA signal,GSM2093906,DU145 prostate cancer cells,Usp9XY shRNA
du145_prostate_cancer_cells_unperturbed_rep2,,,,,,,"DU145 prostate cancer cells, unperturbed, rep2",GSM2093907,Public on Dec 01 2016,Mar 18 2016,Dec 01 2016,RNA,1,"DU145 prostate cancer cells, unperturbed, rep2",Homo sapiens,9606,total RNA,biotin,"Gene expression data from DU145 prostate cancer cells, unperturbed",GPL19251,"Enrico,,Glaab",enrico.glaab@uni.lu,University of Luxembourg,"6, avenue du Swing",Belvaux,Capellen,L-4367,Luxembourg,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2093nnn/GSM2093907/suppl/GSM2093907_1031_P15_unpert_HuGene-2_0-st_.CEL.gz,GSE79376,352859,,log-scale GC-RMA signal,GSM2093907,DU145 prostate cancer cells,unperturbed
du145_prostate_cancer_cells_usp9x_shrna_rep2,,,,,,,"DU145 prostate cancer cells, Usp9X shRNA, rep2",GSM2093908,Public on Dec 01 2016,Mar 18 2016,Dec 01 2016,RNA,1,"DU145 prostate cancer cells, Usp9X shRNA, rep2",Homo sapiens,9606,total RNA,biotin,Gene expression data from DU145 prostate cancer cells transfected with Usp9X shRNA,GPL19251,"Enrico,,Glaab",enrico.glaab@uni.lu,University of Luxembourg,"6, avenue du Swing",Belvaux,Capellen,L-4367,Luxembourg,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2093nnn/GSM2093908/suppl/GSM2093908_1032_P6_688_HuGene-2_0-st_.CEL.gz,GSE79376,352859,,log-scale GC-RMA signal,GSM2093908,DU145 prostate cancer cells,Usp9X shRNA
du145_prostate_cancer_cells_unperturbed_rep3,,,,,,,"DU145 prostate cancer cells, unperturbed, rep3",GSM2093909,Public on Dec 01 2016,Mar 18 2016,Dec 01 2016,RNA,1,"DU145 prostate cancer cells, unperturbed, rep3",Homo sapiens,9606,total RNA,biotin,"Gene expression data from DU145 prostate cancer cells, unperturbed",GPL19251,"Enrico,,Glaab",enrico.glaab@uni.lu,University of Luxembourg,"6, avenue du Swing",Belvaux,Capellen,L-4367,Luxembourg,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2093nnn/GSM2093909/suppl/GSM2093909_1033_P6_unpert_HuGene-2_0-st_.CEL.gz,GSE79376,352859,,log-scale GC-RMA signal,GSM2093909,DU145 prostate cancer cells,unperturbed
du145_prostate_cancer_cells_scrambled_shrna_rep1,,,,,,,"DU145 prostate cancer cells, scrambled shRNA, rep1",GSM2093910,Public on Dec 01 2016,Mar 18 2016,Dec 01 2016,RNA,1,"DU145 prostate cancer cells, scrambled shRNA, rep1",Homo sapiens,9606,total RNA,biotin,"Gene expression data from DU145 prostate cancer cells, transfected with scrambled shRNA",GPL19251,"Enrico,,Glaab",enrico.glaab@uni.lu,University of Luxembourg,"6, avenue du Swing",Belvaux,Capellen,L-4367,Luxembourg,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2093nnn/GSM2093910/suppl/GSM2093910_1034_P6_690_HuGene-2_0-st_.CEL.gz,GSE79376,352859,,log-scale GC-RMA signal,GSM2093910,DU145 prostate cancer cells,scrambled shRNA
du145_prostate_cancer_cells_usp9x_shrna_rep3,,,,,,,"DU145 prostate cancer cells, Usp9X shRNA, rep3",GSM2093911,Public on Dec 01 2016,Mar 18 2016,Dec 01 2016,RNA,1,"DU145 prostate cancer cells, Usp9X shRNA, rep3",Homo sapiens,9606,total RNA,biotin,Gene expression data from DU145 prostate cancer cells transfected with Usp9X shRNA,GPL19251,"Enrico,,Glaab",enrico.glaab@uni.lu,University of Luxembourg,"6, avenue du Swing",Belvaux,Capellen,L-4367,Luxembourg,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2093nnn/GSM2093911/suppl/GSM2093911_1035_P14_688_HuGene-2_0-st_.CEL.gz,GSE79376,352859,,log-scale GC-RMA signal,GSM2093911,DU145 prostate cancer cells,Usp9X shRNA
du145_prostate_cancer_cells_scrambled_shrna_rep2,,,,,,,"DU145 prostate cancer cells, scrambled shRNA, rep2",GSM2093912,Public on Dec 01 2016,Mar 18 2016,Dec 01 2016,RNA,1,"DU145 prostate cancer cells, scrambled shRNA, rep2",Homo sapiens,9606,total RNA,biotin,"Gene expression data from DU145 prostate cancer cells, transfected with scrambled shRNA",GPL19251,"Enrico,,Glaab",enrico.glaab@uni.lu,University of Luxembourg,"6, avenue du Swing",Belvaux,Capellen,L-4367,Luxembourg,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2093nnn/GSM2093912/suppl/GSM2093912_1036_P15_690_HuGene-2_0-st_.CEL.gz,GSE79376,352859,,log-scale GC-RMA signal,GSM2093912,DU145 prostate cancer cells,scrambled shRNA
du145_prostate_cancer_cells_scrambled_shrna_rep3,,,,,,,"DU145 prostate cancer cells, scrambled shRNA, rep3",GSM2093913,Public on Dec 01 2016,Mar 18 2016,Dec 01 2016,RNA,1,"DU145 prostate cancer cells, scrambled shRNA, rep3",Homo sapiens,9606,total RNA,biotin,"Gene expression data from DU145 prostate cancer cells, transfected with scrambled shRNA",GPL19251,"Enrico,,Glaab",enrico.glaab@uni.lu,University of Luxembourg,"6, avenue du Swing",Belvaux,Capellen,L-4367,Luxembourg,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2093nnn/GSM2093913/suppl/GSM2093913_1037_P14_690_HuGene-2_0-st_.CEL.gz,GSE79376,352859,,log-scale GC-RMA signal,GSM2093913,DU145 prostate cancer cells,scrambled shRNA
du145_prostate_cancer_cells_transfection_control_rep3,,,,,,,"DU145 prostate cancer cells, transfection control, rep3",GSM2093914,Public on Dec 01 2016,Mar 18 2016,Dec 01 2016,RNA,1,"DU145 prostate cancer cells, transfection control, rep3",Homo sapiens,9606,total RNA,biotin,"Gene expression data from DU145 prostate cancer cells, transfection reagent without shRNA construct",GPL19251,"Enrico,,Glaab",enrico.glaab@uni.lu,University of Luxembourg,"6, avenue du Swing",Belvaux,Capellen,L-4367,Luxembourg,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2093nnn/GSM2093914/suppl/GSM2093914_1038_P6_lipo_only_HuGene-2_0-st_.CEL.gz,GSE79376,352859,,log-scale GC-RMA signal,GSM2093914,DU145 prostate cancer cells,transfection control
