sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_label_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_phone,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key,tissue,timepoint_group,treatment_group
35cr_eos_control_3,,,,,,,35CR_EOS_control_3,GSM2281048,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 35CR_EOS: control, sample: 3",Homo sapiens,9606,total RNA,biotin,"LuCaP 35CR_EOS: control, sample: 3",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281048/suppl/GSM2281048_38963.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281048,LuCaP 35CR PDX tumor,EOS,control
35cr_eos_control_4,,,,,,,35CR_EOS_control_4,GSM2281049,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 35CR_EOS: control, sample: 4",Homo sapiens,9606,total RNA,biotin,"LuCaP 35CR_EOS: control, sample: 4",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281049/suppl/GSM2281049_38964.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281049,LuCaP 35CR PDX tumor,EOS,control
35cr_eos_control_10,,,,,,,35CR_EOS_control_10,GSM2281050,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 35CR_EOS: control, sample: 10",Homo sapiens,9606,total RNA,biotin,"LuCaP 35CR_EOS: control, sample: 10",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281050/suppl/GSM2281050_38970.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281050,LuCaP 35CR PDX tumor,EOS,control
35cr_eos_control_11,,,,,,,35CR_EOS_control_11,GSM2281051,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 35CR_EOS: control, sample: 11",Homo sapiens,9606,total RNA,biotin,"LuCaP 35CR_EOS: control, sample: 11",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281051/suppl/GSM2281051_38971.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281051,LuCaP 35CR PDX tumor,EOS,control
35cr_eos_abi_6,,,,,,,35CR_EOS_abi_6,GSM2281052,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 35CR_EOS: abi, sample: 6",Homo sapiens,9606,total RNA,biotin,"LuCaP 35CR_EOS: abi, sample: 6",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281052/suppl/GSM2281052_38966.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281052,LuCaP 35CR PDX tumor,EOS,abi
35cr_eos_abi_8,,,,,,,35CR_EOS_abi_8,GSM2281053,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 35CR_EOS: abi, sample: 8",Homo sapiens,9606,total RNA,biotin,"LuCaP 35CR_EOS: abi, sample: 8",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281053/suppl/GSM2281053_38968.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281053,LuCaP 35CR PDX tumor,EOS,abi
35cr_eos_abi_14,,,,,,,35CR_EOS_abi_14,GSM2281054,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 35CR_EOS: abi, sample: 14",Homo sapiens,9606,total RNA,biotin,"LuCaP 35CR_EOS: abi, sample: 14",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281054/suppl/GSM2281054_38974.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281054,LuCaP 35CR PDX tumor,EOS,abi
35cr_eos_abi_16,,,,,,,35CR_EOS_abi_16,GSM2281055,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 35CR_EOS: abi, sample: 16",Homo sapiens,9606,total RNA,biotin,"LuCaP 35CR_EOS: abi, sample: 16",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281055/suppl/GSM2281055_38976.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281055,LuCaP 35CR PDX tumor,EOS,abi
35cr_day_7_control_1,,,,,,,35CR_Day_7_control_1,GSM2281056,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 35CR_Day 7: control, sample: 1",Homo sapiens,9606,total RNA,biotin,"LuCaP 35CR_Day 7: control, sample: 1",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281056/suppl/GSM2281056_38961.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281056,LuCaP 35CR PDX tumor,Day 7,control
35cr_day_7_control_2,,,,,,,35CR_Day_7_control_2,GSM2281057,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 35CR_Day 7: control, sample: 2",Homo sapiens,9606,total RNA,biotin,"LuCaP 35CR_Day 7: control, sample: 2",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281057/suppl/GSM2281057_38962.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281057,LuCaP 35CR PDX tumor,Day 7,control
